Gene	Protein_ID
PAPLA_00090	476263
PAPLA_00091	476265
PAPLA_00092	476267
PAPLA_00093	536977
PAPLA_00094	476270
PAPLA_00095	476271
PAPLA_00096	533791
PAPLA_00097	476277
PAPLA_00098	514471
PAPLA_00099	536983
PAPLA_00100	5933
PAPLA_00101	434646
PAPLA_00102	459091
PAPLA_00103	5949
PAPLA_00104	5947
PAPLA_00105	507099
PAPLA_00106	507099
PAPLA_00107	476298
PAPLA_00108	476299
PAPLA_00109	536991
PAPLA_00110	507102
PAPLA_00111	476318
PAPLA_00112	459113
PAPLA_00113	476323
PAPLA_00114	476329
PAPLA_00115	6306
PAPLA_00116	476341
PAPLA_00117	499777
PAPLA_00118	476343
PAPLA_00119	476346
PAPLA_00120	476350
PAPLA_00121	476354
PAPLA_00122	503751
PAPLA_00123	503752
PAPLA_00124	476362
PAPLA_00125	448313
PAPLA_00126	6895
PAPLA_00127	514555
PAPLA_00128	7015
PAPLA_00129	7183
PAPLA_00130	507122
PAPLA_00131	434494
PAPLA_00132	476404
PAPLA_00133	476410
PAPLA_00134	476413
PAPLA_00135	7770
PAPLA_00136	7784
PAPLA_00137	476429
PAPLA_00138	476430
PAPLA_00139	507132
PAPLA_00140	537018
PAPLA_00141	537019
PAPLA_00142	476438
PAPLA_00143	476441
PAPLA_00144	8257
PAPLA_00145	507138
PAPLA_00146	476462
PAPLA_00147	476463
PAPLA_00148	476465
PAPLA_00149	476471
PAPLA_00150	476474
PAPLA_00151	476477
PAPLA_00152	476477
PAPLA_00153	476482
PAPLA_00154	476484
PAPLA_00155	476489
PAPLA_00156	476494
PAPLA_00157	476497
PAPLA_00158	476502
PAPLA_00159	433704
PAPLA_00160	503771
PAPLA_00161	477421
PAPLA_00162	503771
PAPLA_00163	476510
PAPLA_00164	543554
PAPLA_00165	476518
PAPLA_00166	543558
PAPLA_00167	490742
PAPLA_00168	9431
PAPLA_00169	9431
PAPLA_00170	9665
PAPLA_00171	476547
PAPLA_00172	514651
PAPLA_00173	476554
PAPLA_00174	476556
PAPLA_00175	507169
PAPLA_00176	433965
PAPLA_00177	10084
PAPLA_00178	476587
PAPLA_00179	476593
PAPLA_00180	476595
PAPLA_00181	476606
PAPLA_00182	10532
PAPLA_00183	476614
PAPLA_00184	433551
PAPLA_00185	476618
PAPLA_00186	448422
PAPLA_00187	476626
PAPLA_00188	476633
PAPLA_00189	533845
PAPLA_00190	507188
PAPLA_00191	476677
PAPLA_00192	11533
PAPLA_00193	11536
PAPLA_00194	476707
PAPLA_00195	11946
PAPLA_00196	476714
PAPLA_00197	476716
PAPLA_00198	476718
PAPLA_00199	476721
PAPLA_00200	543589
PAPLA_00201	254221
PAPLA_00202	476726
PAPLA_00203	476730
PAPLA_00204	476733
PAPLA_00205	12239
PAPLA_00206	476764
PAPLA_00207	476769
PAPLA_00208	476772
PAPLA_00209	13184
PAPLA_00210	476779
PAPLA_00211	448467
PAPLA_00212	476801
PAPLA_00213	476803
PAPLA_00214	476807
PAPLA_00215	476813
PAPLA_00216	476816
PAPLA_00217	476820
PAPLA_00218	543607
PAPLA_00219	543607
PAPLA_00220	537100
PAPLA_00221	476825
PAPLA_00222	537102
PAPLA_00223	13709
PAPLA_00224	507224
PAPLA_00225	13894
PAPLA_00226	469842
PAPLA_00227	476840
PAPLA_00228	476845
PAPLA_00229	14014
PAPLA_00230	476851
PAPLA_00231	476854
PAPLA_00232	476855
PAPLA_00233	476857
PAPLA_00234	476858
PAPLA_00235	476861
PAPLA_00236	476866
PAPLA_00237	476873
PAPLA_00238	537117
PAPLA_00239	533875
PAPLA_00240	476877
PAPLA_00241	14321
PAPLA_00242	514815
PAPLA_00243	476886
PAPLA_00244	476895
PAPLA_00245	543629
PAPLA_00246	543629
PAPLA_00247	476904
PAPLA_00248	14588
PAPLA_00249	14612
PAPLA_00250	476908
PAPLA_00251	476913
PAPLA_00252	476915
PAPLA_00253	476916
PAPLA_00254	14665
PAPLA_00255	14805
PAPLA_00256	14698
PAPLA_00257	476928
PAPLA_00258	476932
PAPLA_00258	476932
PAPLA_00259	476932
PAPLA_00259	476932
PAPLA_00260	543640
PAPLA_00261	15055
PAPLA_00262	476944
PAPLA_00263	459361
PAPLA_00264	476951
PAPLA_00265	15526
PAPLA_00266	15397
PAPLA_00267	507272
PAPLA_00268	477048
PAPLA_00269	477051
PAPLA_00270	477052
PAPLA_00271	477054
PAPLA_00272	543650
PAPLA_00273	477058
PAPLA_00274	477061
PAPLA_00275	477066
PAPLA_00276	469887
PAPLA_00277	477069
PAPLA_00278	477076
PAPLA_00279	537158
PAPLA_00280	477081
PAPLA_00281	16672
PAPLA_00282	477086
PAPLA_00283	477090
PAPLA_00284	477092
PAPLA_00285	16851
PAPLA_00286	477105
PAPLA_00287	17018
PAPLA_00288	17043
PAPLA_00289	533890
PAPLA_00290	507295
PAPLA_00291	434198
PAPLA_00292	434198
PAPLA_00293	514913
PAPLA_00294	477165
PAPLA_00294	477165
PAPLA_00294	477165
PAPLA_00295	477165
PAPLA_00296	17569
PAPLA_00297	514929
PAPLA_00298	514929
PAPLA_00299	507301
PAPLA_00300	507302
PAPLA_00301	469905
PAPLA_00302	18009
PAPLA_00303	17595
PAPLA_00304	17595
PAPLA_00305	477205
PAPLA_00306	477210
PAPLA_00307	18176
PAPLA_00308	477222
PAPLA_00309	477224
PAPLA_00310	477230
PAPLA_00311	434012
PAPLA_00312	477236
PAPLA_00313	477246
PAPLA_00314	18430
PAPLA_00315	18376
PAPLA_00316	477259
PAPLA_00317	477261
PAPLA_00318	477266
PAPLA_00319	477268
PAPLA_00320	477280
PAPLA_00321	477284
PAPLA_00322	496687
PAPLA_00323	477291
PAPLA_00324	537197
PAPLA_00325	477305
PAPLA_00326	477309
PAPLA_00327	477313
PAPLA_00328	477328
PAPLA_00329	477331
PAPLA_00330	459472
PAPLA_00331	477337
PAPLA_00332	477341
PAPLA_00333	477343
PAPLA_00334	477349
PAPLA_00335	477350
PAPLA_00336	477353
PAPLA_00337	20528
PAPLA_00338	459486
PAPLA_00339	477357
PAPLA_00340	21136
PAPLA_00341	477360
PAPLA_00342	533915
PAPLA_00343	21271
PAPLA_00344	507347
PAPLA_00345	537220
PAPLA_00346	477370
PAPLA_00347	459503
PAPLA_00348	477382
PAPLA_00349	477400
PAPLA_00350	477402
PAPLA_00351	477404
PAPLA_00352	477407
PAPLA_00353	477409
PAPLA_00354	477415
PAPLA_00355	477418
PAPLA_00356	477421
PAPLA_00357	477422
PAPLA_00358	477433
PAPLA_00359	477437
PAPLA_00360	477442
PAPLA_00361	507373
PAPLA_00362	477462
PAPLA_00363	537247
PAPLA_00364	477465
PAPLA_00365	22973
PAPLA_00366	477474
PAPLA_00367	477478
PAPLA_00368	507381
PAPLA_00369	23129
PAPLA_00370	477487
PAPLA_00371	477493
PAPLA_00372	477500
PAPLA_00373	543735
PAPLA_00374	477505
PAPLA_00375	505108
PAPLA_00376	477505
PAPLA_00377	477510
PAPLA_00378	477511
PAPLA_00379	507390
PAPLA_00380	507391
PAPLA_00381	23683
PAPLA_00382	23686
PAPLA_00383	477523
PAPLA_00384	477530
PAPLA_00385	507395
PAPLA_00386	507396
PAPLA_00387	469979
PAPLA_00388	477542
PAPLA_00389	459575
PAPLA_00390	24159
PAPLA_00391	507401
PAPLA_00392	24006
PAPLA_00393	477582
PAPLA_00394	477584
PAPLA_00395	477587
PAPLA_00396	477590
PAPLA_00397	477594
PAPLA_00398	477598
PAPLA_00399	477602
PAPLA_00400	469995
PAPLA_00401	543759
PAPLA_00402	477606
PAPLA_00403	537282
PAPLA_00404	533937
PAPLA_00405	24816
PAPLA_00406	507415
PAPLA_00407	507416
PAPLA_00408	537287
PAPLA_00409	477622
PAPLA_00410	503892
PAPLA_00411	537290
PAPLA_00412	537291
PAPLA_00413	470006
PAPLA_00414	477640
PAPLA_00415	477645
PAPLA_00416	479276
PAPLA_00417	515247
PAPLA_00418	25258
PAPLA_00419	25434
PAPLA_00420	515251
PAPLA_00421	477669
PAPLA_00422	25526
PAPLA_00423	477672
PAPLA_00424	477673
PAPLA_00425	477675
PAPLA_00426	477679
PAPLA_00427	25640
PAPLA_00428	434635
PAPLA_00429	477690
PAPLA_00430	459624
PAPLA_00431	477706
PAPLA_00432	477708
PAPLA_00433	477710
PAPLA_00434	26637
PAPLA_00435	507446
PAPLA_00436	477736
PAPLA_00437	477741
PAPLA_00438	477744
PAPLA_00439	27589
PAPLA_00440	477750
PAPLA_00441	459638
PAPLA_00442	503905
PAPLA_00443	434519
PAPLA_00444	477759
PAPLA_00445	477765
PAPLA_00446	477770
PAPLA_00447	507460
PAPLA_00448	470043
PAPLA_00449	477807
PAPLA_00450	448844
PAPLA_00451	477819
PAPLA_00452	29014
PAPLA_00453	477826
PAPLA_00454	29085
PAPLA_00455	29107
PAPLA_00456	434533
PAPLA_00457	29183
PAPLA_00458	515418
PAPLA_00459	477837
PAPLA_00460	477840
PAPLA_00461	470058
PAPLA_00462	29411
PAPLA_00463	515432
PAPLA_00464	477852
PAPLA_00465	543809
PAPLA_00466	29575
PAPLA_00467	507489
PAPLA_00468	29660
PAPLA_00469	477864
PAPLA_00470	477864
PAPLA_00471	477867
PAPLA_00472	477868
PAPLA_00473	477872
PAPLA_00474	477875
PAPLA_00475	537356
PAPLA_00476	29946
PAPLA_00477	29936
PAPLA_00478	477887
PAPLA_00479	30207
PAPLA_00480	477925
PAPLA_00481	477928
PAPLA_00482	515470
PAPLA_00483	533968
PAPLA_00484	477947
PAPLA_00485	477949
PAPLA_00486	477956
PAPLA_00487	477957
PAPLA_00488	459707
PAPLA_00489	477978
PAPLA_00490	31194
PAPLA_00491	31175
PAPLA_00492	477989
PAPLA_00493	515492
PAPLA_00494	478002
PAPLA_00495	507519
PAPLA_00496	459718
PAPLA_00497	478013
PAPLA_00498	478016
PAPLA_00499	478019
PAPLA_00500	470092
PAPLA_00501	478026
PAPLA_00502	478030
PAPLA_00503	434569
PAPLA_00504	32031
PAPLA_00505	470096
PAPLA_00506	478074
PAPLA_00507	478080
PAPLA_00508	32603
PAPLA_00509	478082
PAPLA_00510	507533
PAPLA_00511	507534
PAPLA_00512	478099
PAPLA_00513	478100
PAPLA_00514	478103
PAPLA_00515	32495
PAPLA_00516	478108
PAPLA_00517	478110
PAPLA_00518	478114
PAPLA_00519	32834
PAPLA_00520	33070
PAPLA_00521	507546
PAPLA_00522	507547
PAPLA_00523	478129
PAPLA_00524	503949
PAPLA_00525	478135
PAPLA_00526	478138
PAPLA_00527	470115
PAPLA_00528	478140
PAPLA_00529	128368
PAPLA_00530	478146
PAPLA_00531	459786
PAPLA_00532	478152
PAPLA_00533	478154
PAPLA_00534	543867
PAPLA_00535	459794
PAPLA_00536	478162
PAPLA_00537	459798
PAPLA_00538	459801
PAPLA_00539	537425
PAPLA_00540	543872
PAPLA_00541	470127
PAPLA_00542	478171
PAPLA_00543	478173
PAPLA_00544	478178
PAPLA_00545	478181
PAPLA_00546	33911
PAPLA_00547	478186
PAPLA_00548	478188
PAPLA_00549	478191
PAPLA_00550	448998
PAPLA_00551	478199
PAPLA_00552	507579
PAPLA_00553	34133
PAPLA_00554	34016
PAPLA_00555	478214
PAPLA_00556	478221
PAPLA_00557	478228
PAPLA_00558	478234
PAPLA_00559	478236
PAPLA_00560	478239
PAPLA_00561	34637
PAPLA_00562	34820
PAPLA_00563	478253
PAPLA_00564	478258
PAPLA_00565	537450
PAPLA_00566	478267
PAPLA_00567	478270
PAPLA_00568	478272
PAPLA_00569	35516
PAPLA_00569	35516
PAPLA_00570	503968
PAPLA_00571	478279
PAPLA_00572	478285
PAPLA_00573	501559
PAPLA_00574	537457
PAPLA_00575	537457
PAPLA_00576	478290
PAPLA_00577	503971
PAPLA_00578	478298
PAPLA_00579	478299
PAPLA_00580	478300
PAPLA_00581	478304
PAPLA_00582	434828
PAPLA_00583	478310
PAPLA_00584	478314
PAPLA_00585	478317
PAPLA_00587	478318
PAPLA_00588	478320
PAPLA_00589	478324
PAPLA_00590	36331
PAPLA_00591	449058
PAPLA_00592	36090
PAPLA_00593	507615
PAPLA_00594	36494
PAPLA_00595	478343
PAPLA_00596	478347
PAPLA_00597	36642
PAPLA_00598	36733
PAPLA_00599	478358
PAPLA_00600	478367
PAPLA_00601	37241
PAPLA_00602	37248
PAPLA_00603	543923
PAPLA_00604	543924
PAPLA_00605	507629
PAPLA_00606	478396
PAPLA_00607	459901
PAPLA_00608	478403
PAPLA_00609	478412
PAPLA_00610	478417
PAPLA_00611	515742
PAPLA_00612	478425
PAPLA_00613	449100
PAPLA_00614	478435
PAPLA_00615	478436
PAPLA_00616	478443
PAPLA_00617	484208
PAPLA_00618	478448
PAPLA_00619	470201
PAPLA_00620	470202
PAPLA_00621	478457
PAPLA_00622	478457
PAPLA_00623	478459
PAPLA_00624	38468
PAPLA_00625	507651
PAPLA_00626	507651
PAPLA_00627	478467
PAPLA_00628	494003
PAPLA_00629	478467
PAPLA_00630	478469
PAPLA_00631	478472
PAPLA_00632	478477
PAPLA_00633	478478
PAPLA_00634	478482
PAPLA_00635	478486
PAPLA_00636	478495
PAPLA_00637	478504
PAPLA_00638	478509
PAPLA_00639	478511
PAPLA_00640	478514
PAPLA_00641	478534
PAPLA_00642	39328
PAPLA_00643	537524
PAPLA_00644	459963
PAPLA_00645	39399
PAPLA_00646	434973
PAPLA_00647	515824
PAPLA_00648	478566
PAPLA_00649	459973
PAPLA_00650	478579
PAPLA_00650	478579
PAPLA_00651	478587
PAPLA_00652	434870
PAPLA_00653	507681
PAPLA_00654	543972
PAPLA_00655	537535
PAPLA_00656	478607
PAPLA_00657	478608
PAPLA_00658	478608
PAPLA_00659	507686
PAPLA_00660	478625
PAPLA_00661	478630
PAPLA_00662	507690
PAPLA_00663	515871
PAPLA_00664	470251
PAPLA_00665	470251
PAPLA_00666	507693
PAPLA_00667	41101
PAPLA_00668	478682
PAPLA_00669	41150
PAPLA_00670	41145
PAPLA_00671	478687
PAPLA_00672	478691
PAPLA_00673	478695
PAPLA_00674	478698
PAPLA_00675	478702
PAPLA_00676	478706
PAPLA_00677	478710
PAPLA_00678	41864
PAPLA_00679	478716
PAPLA_00680	478721
PAPLA_00681	478723
PAPLA_00682	478724
PAPLA_00683	507711
PAPLA_00684	41951
PAPLA_00685	449198
PAPLA_00686	478732
PAPLA_00687	478736
PAPLA_00688	42033
PAPLA_00689	537569
PAPLA_00690	478740
PAPLA_00691	507720
PAPLA_00692	478749
PAPLA_00693	478753
PAPLA_00694	478761
PAPLA_00695	42209
PAPLA_00696	42191
PAPLA_00697	42290
PAPLA_00698	42316
PAPLA_00699	478770
PAPLA_00700	478772
PAPLA_00701	478774
PAPLA_00702	478777
PAPLA_00703	42406
PAPLA_00704	478781
PAPLA_00705	42475
PAPLA_00706	42467
PAPLA_00707	478794
PAPLA_00708	470289
PAPLA_00709	515988
PAPLA_00710	478810
PAPLA_00711	478811
PAPLA_00712	478814
PAPLA_00713	537590
PAPLA_00714	478818
PAPLA_00715	478821
PAPLA_00716	478830
PAPLA_00717	478832
PAPLA_00717	478832
PAPLA_00718	478834
PAPLA_00719	470297
PAPLA_00720	43252
PAPLA_00721	43527
PAPLA_00722	478855
PAPLA_00723	478858
PAPLA_00724	43768
PAPLA_00725	434668
PAPLA_00726	43731
PAPLA_00727	478863
PAPLA_00728	434077
PAPLA_00729	478876
PAPLA_00730	478877
PAPLA_00731	43874
PAPLA_00732	43934
PAPLA_00733	478883
PAPLA_00734	449240
PAPLA_00735	537608
PAPLA_00736	478891
PAPLA_00737	507761
PAPLA_00738	537611
PAPLA_00739	478902
PAPLA_00740	478903
PAPLA_00741	537614
PAPLA_00742	544043
PAPLA_00743	478907
PAPLA_00744	44320
PAPLA_00745	507769
PAPLA_00746	478917
PAPLA_00747	478927
PAPLA_00748	507773
PAPLA_00749	507774
PAPLA_00750	478931
PAPLA_00751	478935
PAPLA_00752	534078
PAPLA_00753	478941
PAPLA_00754	478945
PAPLA_00755	507780
PAPLA_00756	478955
PAPLA_00757	45030
PAPLA_00758	479003
PAPLA_00759	470327
PAPLA_00760	479008
PAPLA_00761	45337
PAPLA_00762	507790
PAPLA_00763	479018
PAPLA_00764	479028
PAPLA_00765	479030
PAPLA_00766	479035
PAPLA_00767	479038
PAPLA_00768	460085
PAPLA_00769	479046
PAPLA_00770	46022
PAPLA_00771	45866
PAPLA_00772	479058
PAPLA_00773	479065
PAPLA_00774	46160
PAPLA_00775	479074
PAPLA_00776	507813
PAPLA_00777	479083
PAPLA_00778	544074
PAPLA_00779	479089
PAPLA_00780	537663
PAPLA_00781	46545
PAPLA_00782	479094
PAPLA_00783	479098
PAPLA_00784	3913
PAPLA_00785	479103
PAPLA_00786	479121
PAPLA_00787	46827
PAPLA_00788	479126
PAPLA_00789	479126
PAPLA_00790	516145
PAPLA_00791	46893
PAPLA_00792	479140
PAPLA_00793	479144
PAPLA_00794	479146
PAPLA_00795	479151
PAPLA_00796	507830
PAPLA_00797	47072
PAPLA_00798	479157
PAPLA_00799	479158
PAPLA_00800	479161
PAPLA_00801	479165
PAPLA_00802	470370
PAPLA_00803	47280
PAPLA_00804	479180
PAPLA_00805	47358
PAPLA_00806	47301
PAPLA_00807	47441
PAPLA_00808	470374
PAPLA_00809	507843
PAPLA_00810	479202
PAPLA_00811	47686
PAPLA_00812	47686
PAPLA_00813	479218
PAPLA_00814	479222
PAPLA_00815	504061
PAPLA_00816	479232
PAPLA_00817	479235
PAPLA_00818	507855
PAPLA_00819	434449
PAPLA_00820	48398
PAPLA_00821	479250
PAPLA_00822	48633
PAPLA_00823	507860
PAPLA_00824	479255
PAPLA_00825	537704
PAPLA_00826	507864
PAPLA_00827	507865
PAPLA_00828	434941
PAPLA_00829	48939
PAPLA_00830	460167
PAPLA_00831	479274
PAPLA_00832	537712
PAPLA_00833	479276
PAPLA_00834	49104
PAPLA_00835	479280
PAPLA_00836	49129
PAPLA_00837	507875
PAPLA_00838	49206
PAPLA_00839	49226
PAPLA_00840	537719
PAPLA_00841	537720
PAPLA_00842	449372
PAPLA_00843	479332
PAPLA_00844	537724
PAPLA_00845	479338
PAPLA_00846	479339
PAPLA_00847	479341
PAPLA_00848	49528
PAPLA_00849	49556
PAPLA_00850	49699
PAPLA_00851	49678
PAPLA_00852	537731
PAPLA_00853	380009
PAPLA_00854	479369
PAPLA_00855	537733
PAPLA_00856	479379
PAPLA_00857	434715
PAPLA_00858	50114
PAPLA_00859	479390
PAPLA_00860	479396
PAPLA_00861	479400
PAPLA_00862	479400
PAPLA_00863	470424
PAPLA_00864	479420
PAPLA_00865	537742
PAPLA_00866	479429
PAPLA_00867	479444
PAPLA_00868	479447
PAPLA_00869	479459
PAPLA_00870	479468
PAPLA_00871	479469
PAPLA_00872	479472
PAPLA_00873	51924
PAPLA_00874	433947
PAPLA_00875	470438
PAPLA_00876	52129
PAPLA_00877	479515
PAPLA_00878	479521
PAPLA_00879	479522
PAPLA_00880	52336
PAPLA_00881	52383
PAPLA_00882	449418
PAPLA_00883	479560
PAPLA_00884	479560
PAPLA_00885	52695
PAPLA_00886	52801
PAPLA_00887	479579
PAPLA_00888	52722
PAPLA_00889	534128
PAPLA_00890	52962
PAPLA_00891	507928
PAPLA_00892	470451
PAPLA_00892	470451
PAPLA_00893	470451
PAPLA_00893	470451
PAPLA_00894	53088
PAPLA_00895	507931
PAPLA_00896	479619
PAPLA_00897	479623
PAPLA_00898	479627
PAPLA_00899	479635
PAPLA_00900	479636
PAPLA_00901	53482
PAPLA_00902	479642
PAPLA_00903	516491
PAPLA_00904	507939
PAPLA_00905	537969
PAPLA_00906	479653
PAPLA_00907	54296
PAPLA_00908	460260
PAPLA_00909	460260
PAPLA_00910	479661
PAPLA_00911	479661
PAPLA_00912	449456
PAPLA_00913	479665
PAPLA_00914	54394
PAPLA_00915	479671
PAPLA_00916	479675
PAPLA_00917	479676
PAPLA_00918	479678
PAPLA_00919	479681
PAPLA_00920	55392
PAPLA_00921	507950
PAPLA_00922	479687
PAPLA_00923	507953
PAPLA_00924	507954
PAPLA_00925	479705
PAPLA_00926	507957
PAPLA_00927	55409
PAPLA_00928	55863
PAPLA_00929	516565
PAPLA_00930	479717
PAPLA_00931	479722
PAPLA_00932	479725
PAPLA_00933	479729
PAPLA_00934	479733
PAPLA_00935	479734
PAPLA_00936	479736
PAPLA_00937	479741
PAPLA_00938	479750
PAPLA_00939	56444
PAPLA_00940	56404
PAPLA_00941	56723
PAPLA_00942	537812
PAPLA_00943	479762
PAPLA_00944	479763
PAPLA_00945	56975
PAPLA_00946	479768
PAPLA_00947	537816
PAPLA_00948	479781
PAPLA_00949	479790
PAPLA_00950	479798
PAPLA_00951	57732
PAPLA_00952	479812
PAPLA_00953	479815
PAPLA_00954	433850
PAPLA_00955	479831
PAPLA_00956	479834
PAPLA_00957	479836
PAPLA_00958	58332
PAPLA_00959	58418
PAPLA_00960	537834
PAPLA_00961	479850
PAPLA_00962	479851
PAPLA_00963	479857
PAPLA_00964	479858
PAPLA_00965	58773
PAPLA_00966	479867
PAPLA_00967	479871
PAPLA_00968	508006
PAPLA_00969	479885
PAPLA_00970	479886
PAPLA_00971	479887
PAPLA_00972	479894
PAPLA_00973	479899
PAPLA_00974	479905
PAPLA_00975	479907
PAPLA_00976	479907
PAPLA_00977	470515
PAPLA_00978	479915
PAPLA_00979	502893
PAPLA_00980	479920
PAPLA_00981	59445
PAPLA_00982	434244
PAPLA_00983	479931
PAPLA_00984	508023
PAPLA_00985	470524
PAPLA_00986	479946
PAPLA_00987	508026
PAPLA_00988	537864
PAPLA_00989	479954
PAPLA_00990	479956
PAPLA_00991	479958
PAPLA_00992	508035
PAPLA_00993	60013
PAPLA_00994	479979
PAPLA_00995	479981
PAPLA_00996	479985
PAPLA_00997	60343
PAPLA_00998	479999
PAPLA_00999	470543
PAPLA_01000	449568
PAPLA_01001	60503
PAPLA_01002	480008
PAPLA_01003	537881
PAPLA_01004	480017
PAPLA_01005	460381
PAPLA_01006	480031
PAPLA_01007	544258
PAPLA_01008	544258
PAPLA_01009	480038
PAPLA_01010	508056
PAPLA_01011	480049
PAPLA_01012	460388
PAPLA_01013	480053
PAPLA_01014	480056
PAPLA_01015	61045
PAPLA_01016	61042
PAPLA_01017	480067
PAPLA_01018	449598
PAPLA_01019	471694
PAPLA_01020	449598
PAPLA_01021	508066
PAPLA_01022	61192
PAPLA_01023	449605
PAPLA_01024	480079
PAPLA_01025	480081
PAPLA_01026	480088
PAPLA_01027	61421
PAPLA_01028	61508
PAPLA_01029	508076
PAPLA_01030	173245
PAPLA_01031	480097
PAPLA_01032	61680
PAPLA_01033	62017
PAPLA_01034	480144
PAPLA_01035	480149
PAPLA_01036	508083
PAPLA_01037	480153
PAPLA_01038	516865
PAPLA_01039	516886
PAPLA_01040	480165
PAPLA_01041	480167
PAPLA_01042	470596
PAPLA_01043	62383
PAPLA_01044	62474
PAPLA_01045	470600
PAPLA_01046	480189
PAPLA_01047	62505
PAPLA_01048	62584
PAPLA_01049	62614
PAPLA_01050	537928
PAPLA_01051	480204
PAPLA_01052	480205
PAPLA_01053	480208
PAPLA_01054	62653
PAPLA_01055	63491
PAPLA_01056	63402
PAPLA_01057	63389
PAPLA_01058	508106
PAPLA_01059	516938
PAPLA_01060	480260
PAPLA_01061	480268
PAPLA_01062	508114
PAPLA_01063	63929
PAPLA_01064	512766
PAPLA_01065	497986
PAPLA_01066	512770
PAPLA_01067	442885
PAPLA_01068	64504
PAPLA_01069	442639
PAPLA_01070	506382
PAPLA_01071	64209
PAPLA_01072	456959
PAPLA_01073	64739
PAPLA_01074	64752
PAPLA_01075	467708
PAPLA_01076	498088
PAPLA_01077	65248
PAPLA_01078	65317
PAPLA_01079	512787
PAPLA_01080	498149
PAPLA_01081	66137
PAPLA_01082	498163
PAPLA_01083	498169
PAPLA_01084	498185
PAPLA_01085	498189
PAPLA_01086	498192
PAPLA_01087	66744
PAPLA_01088	498200
PAPLA_01089	498205
PAPLA_01090	498210
PAPLA_01091	498213
PAPLA_01092	443173
PAPLA_01093	512804
PAPLA_01094	67269
PAPLA_01095	67105
PAPLA_01096	442873
PAPLA_01097	498232
PAPLA_01098	442797
PAPLA_01099	67395
PAPLA_01100	498257
PAPLA_01101	498259
PAPLA_01102	442696
PAPLA_01103	442696
PAPLA_01104	442910
PAPLA_01104	442910
PAPLA_01106	498271
PAPLA_01107	68183
PAPLA_01108	498292
PAPLA_01109	498297
PAPLA_01110	498304
PAPLA_01111	443002
PAPLA_01112	498311
PAPLA_01113	512823
PAPLA_01114	68507
PAPLA_01115	512825
PAPLA_01116	475291
PAPLA_01117	498326
PAPLA_01118	498330
PAPLA_01119	498334
PAPLA_01120	132679
PAPLA_01121	506410
PAPLA_01122	498343
PAPLA_01123	498346
PAPLA_01124	68874
PAPLA_01125	68856
PAPLA_01126	498360
PAPLA_01127	498364
PAPLA_01128	512840
PAPLA_01129	498374
PAPLA_01130	506415
PAPLA_01131	498380
PAPLA_01132	69714
PAPLA_01133	442669
PAPLA_01134	442762
PAPLA_01135	69589
PAPLA_01136	498410
PAPLA_01137	498420
PAPLA_01138	498444
PAPLA_01139	498446
PAPLA_01140	498450
PAPLA_01141	498454
PAPLA_01142	548051
PAPLA_01143	498460
PAPLA_01144	546944
PAPLA_01145	474745
PAPLA_01146	498483
PAPLA_01147	517276
PAPLA_01148	123069
PAPLA_01149	517276
PAPLA_01150	498489
PAPLA_01151	71144
PAPLA_01152	498499
PAPLA_01153	498505
PAPLA_01154	71299
PAPLA_01155	498510
PAPLA_01156	498514
