GO_ID,Protein
GO:0008610,E6R252
GO:0016020,E6R252
GO:0051996,E6R252
GO:0004506,E6RBP8
GO:0005789,E6RBP8
GO:0016126,E6RBP8
GO:0050660,E6RBP8
GO:0140907,E6RBP8
GO:0004478,E6QXM3
GO:0005524,E6QXM3
GO:0006556,E6QXM3
GO:0006730,E6QXM3
GO:0046872,E6QXM3
GO:0004642,E6RB94
GO:0005524,E6RB94
GO:0006189,E6RB94
GO:0006541,E6RB94
GO:0046872,E6RB94
GO:0001522,E6R417
GO:0003723,E6R417
GO:0009982,E6R417
GO:0008703,E6QY98
GO:0009231,E6QY98
GO:0000906,E6R833
GO:0009231,E6R833
GO:0009349,E6R833
GO:0004420,E6R7I5
GO:0005789,E6R7I5
GO:0008299,E6R7I5
GO:0015936,E6R7I5
GO:0004631,E6REY2
GO:0005524,E6REY2
GO:0006694,E6REY2
GO:0016310,E6REY2
GO:0019287,E6REY2
GO:0004421,E6R9E0
GO:0006084,E6R9E0
GO:0010142,E6R9E0
GO:0004163,E6R5P9
GO:0005524,E6R5P9
GO:0005829,E6R5P9
GO:0016126,E6R5P9
GO:0019287,E6R5P9
GO:0003921,E6RDF8
GO:0005524,E6RDF8
GO:0006541,E6RDF8
GO:0004497,E6QZS1
GO:0005506,E6QZS1
GO:0016020,E6QZS1
GO:0016705,E6QZS1
GO:0020037,E6QZS1
GO:0000166,E6QXP4
GO:0003938,E6QXP4
GO:0005737,E6QXP4
GO:0006177,E6QXP4
GO:0046872,E6QXP4
GO:0004001,E6RFM1
GO:0005524,E6RFM1
GO:0006166,E6RFM1
GO:0016310,E6RFM1
GO:0044209,E6RFM1
GO:0003883,E6R2F8
GO:0005524,E6R2F8
GO:0006541,E6R2F8
GO:0044210,E6R2F8
GO:0008686,E6R6F3
GO:0009231,E6R6F3
GO:0046872,E6R6F3
GO:0004609,E6R9G1
GO:0005743,E6R9G1
GO:0006646,E6R9G1
GO:0016540,E6R9G1
GO:0004799,E6R4U3
GO:0006231,E6R4U3
GO:0006235,E6R4U3
GO:0032259,E6R4U3
GO:0004590,E6R594
GO:0006207,E6R594
GO:0044205,E6R594
GO:0004044,E6R1V6
GO:0006189,E6R1V6
GO:0009113,E6R1V6
GO:0046872,E6R1V6
GO:0003935,E6QY36
GO:0005525,E6QY36
GO:0009231,E6QY36
GO:0005506,E6QZK4
GO:0008610,E6QZK4
GO:0016020,E6QZK4
GO:0016491,E6QZK4
GO:0044255,E6QZK4
GO:0005811,E6R423
GO:0016104,E6R423
GO:0016866,E6R423
GO:0003854,E6R525
GO:0006694,E6R525
GO:0005789,E6QYU8
GO:0016126,E6QYU8
GO:0016853,E6QYU8
GO:0008962,E6R1X9
GO:0008654,E6RF81
GO:0016020,E6RF81
GO:0016780,E6RF81
GO:0005524,E6R1U7
GO:0005739,E6R1U7
GO:0008444,E6R1U7
GO:0032049,E6R1U7
GO:0004222,E6R9X6
GO:0006508,E6R9X6
GO:0046872,E6R9X6
GO:0005743,E6R8M9
GO:0009055,E6R8M9
GO:0020037,E6R8M9
GO:0046872,E6R8M9
GO:0046872,E6R5U8
GO:0008195,E6RBY7
GO:0016757,E6RBI4
GO:0045261,E6R6H4
GO:0046933,E6R6H4
GO:0005524,E6R871
GO:0045261,E6R871
GO:0046933,E6R871
GO:0005524,E6R8N5
GO:0045261,E6R8N5
GO:0046933,E6R8N5
GO:0046961,E6R8N5
GO:0000276,E6QZ72
GO:0015078,E6QZ72
GO:0015986,E6QZ72
GO:0005743,E6R4I2
GO:0008137,E6R4I2
GO:0010181,E6R4I2
GO:0045271,E6R4I2
GO:0046872,E6R4I2
GO:0051287,E6R4I2
GO:0051539,E6R4I2
GO:0000148,E6RFP0
GO:0003843,E6RFP0
GO:0006075,E6RFP0
GO:0006520,E6QYM7
GO:0016616,E6QYM7
GO:0051287,E6QYM7
GO:0004801,E6RD54
GO:0005737,E6RD54
GO:0005975,E6RD54
GO:0006098,E6RD54
GO:0000287,E6QZC0
GO:0004450,E6QZC0
GO:0006099,E6QZC0
GO:0006102,E6QZC0
GO:0051287,E6QZC0
GO:0004149,E6R1A2
GO:0006099,E6R1A2
GO:0033512,E6R1A2
GO:0045252,E6R1A2
GO:0004591,E6R126
GO:0006099,E6R126
GO:0030976,E6R126
GO:0004582,E6R0U3
GO:0005783,E6R0U3
GO:0006486,E6R0U3
GO:0004471,E6R7T3
GO:0046872,E6R7T3
GO:0051287,E6R7T3
GO:0004047,E6R1S3
GO:0005739,E6R1S3
GO:0006546,E6R1S3
GO:0008483,E6R1S3
GO:0004375,E6R2V8
GO:0005739,E6R2V8
GO:0006546,E6R2V8
GO:0004332,E6R1G7
GO:0006096,E6R1G7
GO:0008270,E6R1G7
GO:0110165,E6R1G7
GO:0000287,E6R6B6
GO:0004427,E6R6B6
GO:0005737,E6R6B6
GO:0006796,E6R6B6
GO:0004409,E6RDW8
GO:0005739,E6RDW8
GO:0019878,E6RDW8
GO:0046872,E6RDW8
GO:0051539,E6RDW8
GO:0004356,E6QXR0
GO:0005524,E6QXR0
GO:0005737,E6QXR0
GO:0006542,E6QXR0
GO:0016020,E6R375
GO:0016746,E6R375
GO:0000104,E6R0P3
GO:0006099,E6R0P3
GO:0009055,E6R0P3
GO:0045281,E6R0P3
GO:0046872,E6R0P3
GO:0005743,E6R957
GO:0006099,E6R957
GO:0008177,E6R957
GO:0009055,E6R957
GO:0046872,E6R957
GO:0051537,E6R957
GO:0051538,E6R957
GO:0051539,E6R957
GO:0102040,E6R957
GO:0010181,E6R556
GO:0020037,E6R556
GO:0046872,E6R556
GO:0140907,E6R556
GO:0005743,E6R1C2
GO:0004802,E6R5X6
GO:0006163,E6R5X6
GO:0046872,E6R5X6
GO:0004802,E6RFD4
GO:0006163,E6RFD4
GO:0046872,E6RFD4
GO:0003988,E6R215
GO:0000287,E6QYK0
GO:0004775,E6QYK0
GO:0005524,E6QYK0
GO:0005739,E6QYK0
GO:0006099,E6QYK0
GO:0000166,E6R9J8
GO:0004775,E6R9J8
GO:0005739,E6R9J8
GO:0006099,E6R9J8
GO:0003937,E6QYF4
GO:0004643,E6QYF4
GO:0005829,E6QYF4
GO:0006189,E6QYF4
GO:0004365,E6RAC7
GO:0005737,E6RAC7
GO:0006006,E6RAC7
GO:0006096,E6RAC7
GO:0050661,E6RAC7
GO:0051287,E6RAC7
GO:0003824,E6R2X1
GO:0019346,E6R2X1
GO:0030170,E6R2X1
GO:0004017,E6RCZ3
GO:0005524,E6RCZ3
GO:0016310,E6RCZ3
GO:0004018,E6R996
GO:0006189,E6R996
GO:0044208,E6R996
GO:0070626,E6R996
GO:0006099,E6R992
GO:0019752,E6R992
GO:0030060,E6R992
GO:0004333,E6R320
GO:0006099,E6R320
GO:0006106,E6R320
GO:0045239,E6R320
GO:0004069,E6R6S5
GO:0006520,E6R6S5
GO:0009058,E6R6S5
GO:0030170,E6R6S5
GO:0008270,E6REF0
GO:0016616,E6REF0
GO:0004055,E6RCU5
GO:0005524,E6RCU5
GO:0006526,E6RCU5
GO:0004069,E6RF51
GO:0006520,E6RF51
GO:0009058,E6RF51
GO:0030170,E6RF51
GO:0004807,E6R685
GO:0006094,E6R685
GO:0006096,E6R685
GO:0003987,E6QYP9
GO:0005524,E6QYP9
GO:0016208,E6QYP9
GO:0019427,E6QYP9
GO:0004329,E6RA08
GO:0004477,E6RA08
GO:0004488,E6RA08
GO:0005524,E6RA08
GO:0035999,E6RA08
GO:0004121,E6RDK1
GO:0004496,E6RDK1
GO:0005524,E6RDK1
GO:0005737,E6RDK1
GO:0016310,E6RDK1
GO:0019287,E6RDK1
GO:0019346,E6RDK1
GO:0030170,E6RDK1
GO:0071266,E6RDK1
GO:0004151,E6QYI8
GO:0019856,E6QYI8
GO:0044205,E6QYI8
GO:0046872,E6QYI8
GO:0004347,E6QZC4
GO:0006094,E6QZC4
GO:0006096,E6QZC4
GO:0097367,E6QZC4
GO:1901135,E6QZC4
GO:0004605,E6R5Y1
GO:0016020,E6R5Y1
GO:0016024,E6R5Y1
GO:0008652,E6RFZ8
GO:0009082,E6RFZ8
GO:0050048,E6RFZ8
GO:0052654,E6RFZ8
GO:0052655,E6RFZ8
GO:0052656,E6RFZ8
GO:0004372,E6R529
GO:0019264,E6R529
GO:0030170,E6R529
GO:0035999,E6R529
GO:0004588,E6R931
GO:0044205,E6R931
GO:0004794,E6RDN4
GO:0009097,E6RDN4
GO:0004089,E6R1R1
GO:0008270,E6R1R1
GO:0004550,E6R552
GO:0006183,E6R552
GO:0006228,E6R552
GO:0006241,E6R552
GO:0016310,E6R552
GO:0004476,E6RAX8
GO:0005975,E6RAX8
GO:0008270,E6RAX8
GO:0009298,E6RAX8
GO:0016491,E6QZ61
GO:0004615,E6RA79
GO:0005737,E6RA79
GO:0009298,E6RA79
GO:0008483,E6QZQ6
GO:0009058,E6QZQ6
GO:0030170,E6QZQ6
GO:0004751,E6RC01
GO:0009052,E6RC01
GO:0004056,E6R1T0
GO:0042450,E6R1T0
GO:0003994,E6RFD8
GO:0005739,E6RFD8
GO:0006099,E6RFD8
GO:0046872,E6RFD8
GO:0051539,E6RFD8
GO:0004127,E6R8Q4
GO:0005524,E6R8Q4
GO:0005634,E6R8Q4
GO:0005737,E6R8Q4
GO:0006207,E6R8Q4
GO:0006221,E6R8Q4
GO:0016310,E6R8Q4
GO:0033862,E6R8Q4
GO:0006535,E6R5F4
GO:0030170,E6R5F4
GO:0005789,E6R8I0
GO:0008374,E6R8I0
GO:0003861,E6R0B1
GO:0009098,E6R0B1
GO:0009316,E6R0B1
GO:0046872,E6R0B1
GO:0051539,E6R0B1
GO:0004385,E6R4Q5
GO:0005524,E6R4Q5
GO:0016310,E6R4Q5
GO:0004017,E6RE89
GO:0005524,E6RE89
GO:0005634,E6RE89
GO:0005737,E6RE89
GO:0006364,E6RE89
GO:0016310,E6RE89
GO:0016887,E6RE89
GO:0006139,E6R1A6
GO:0008270,E6R1A6
GO:0016814,E6R1A6
GO:0019239,E6R1A6
GO:0004550,E6R716
GO:0005524,E6R716
GO:0006183,E6R716
GO:0006228,E6R716
GO:0006241,E6R716
GO:0016310,E6R716
GO:0004452,E6R0D6
GO:0008299,E6R0D6
GO:0050992,E6R0D6
GO:0006644,E6QZL5
GO:0016746,E6QZL5
GO:0000287,E6QXI7
GO:0005524,E6QXI7
GO:0015914,E6QXI7
GO:0016020,E6QXI7
GO:0016887,E6QXI7
GO:0140326,E6QXI7
GO:0005524,E6QXJ2
GO:0016301,E6QXJ2
GO:0016310,E6QXJ2
GO:0046854,E6QXJ2
GO:0004105,E6QXM8
GO:0033179,E6QXQ1
GO:0046961,E6QXQ1
GO:0003995,E6QXQ6
GO:0050660,E6QXQ6
GO:1901565,E6QXQ6
GO:0000287,E6QXT2
GO:0004449,E6QXT2
GO:0006099,E6QXT2
GO:0051287,E6QXT2
GO:0016747,E6QXU2
GO:0016020,E6QXV1
GO:0003988,E6QXY0
GO:0016020,E6QXY5
GO:0055085,E6QXY5
GO:0016746,E6QXZ2
GO:0016020,E6QXZ3
GO:0022857,E6QXZ3
GO:0004100,E6QXZ8
GO:0016020,E6QXZ8
GO:0016020,E6QY04
GO:0055085,E6QY04
GO:0006629,E6QY09
GO:0016020,E6QY09
GO:0006541,E6QY12
GO:0046654,E6QY12
GO:0046656,E6QY12
GO:0046820,E6QY12
GO:0003924,E6QY40
GO:0005525,E6QY40
GO:0006996,E6QY40
GO:0033178,E6QY45
GO:0046961,E6QY45
GO:0004767,E6QY51
GO:0006665,E6QY51
GO:0016020,E6QY51
GO:0016020,E6QY53
GO:0022857,E6QY53
GO:0003873,E6QY71
GO:0005524,E6QY71
GO:0006000,E6QY71
GO:0006003,E6QY71
GO:0004070,E6QY73
GO:0004088,E6QY73
GO:0005524,E6QY73
GO:0006207,E6QY73
GO:0006541,E6QY73
GO:0016597,E6QY73
GO:0044205,E6QY73
GO:0046872,E6QY73
GO:0006535,E6QY90
GO:0004578,E6QYE2
GO:0016020,E6QYE2
GO:0004559,E6QYE9
GO:0006013,E6QYE9
GO:0030246,E6QYE9
GO:0046872,E6QYE9
GO:0003978,E6QYF0
GO:0006012,E6QYF0
GO:0016020,E6QYF0
GO:0005758,E6QYH0
GO:0009055,E6QYH0
GO:0020037,E6QYH0
GO:0046872,E6QYH0
GO:0070469,E6QYH0
GO:0005524,E6QYI3
GO:0016020,E6QYI3
GO:0016887,E6QYI3
GO:0140359,E6QYI3
GO:0003824,E6QYJ5
GO:0009058,E6QYJ5
GO:0030170,E6QYJ5
GO:0003954,E6QYP0
GO:0006116,E6QYP0
GO:0016020,E6QYP0
GO:0140907,E6QYP0
GO:0006644,E6QYP2
GO:0016020,E6QYP2
GO:0005524,E6QYP5
GO:0016020,E6QYP5
GO:0016887,E6QYP5
GO:0140359,E6QYP5
GO:0005524,E6QYP8
GO:0016020,E6QYP8
GO:0016887,E6QYP8
GO:0140359,E6QYP8
GO:0004664,E6QYS0
GO:0009094,E6QYS0
GO:0005739,E6QYS5
GO:0006862,E6QYS5
GO:0016020,E6QYS5
GO:0055085,E6QYS5
GO:0004143,E6QYU6
GO:0016020,E6QYU6
GO:0016779,E6QYU6
GO:0046834,E6QYU6
GO:0005783,E6QYW7
GO:0016020,E6QYW7
GO:0016301,E6QYW7
GO:0016310,E6QYW7
GO:0000334,E6QYX0
GO:0005737,E6QYX0
GO:0006569,E6QYX0
GO:0008198,E6QYX0
GO:0019805,E6QYX0
GO:0034354,E6QYX0
GO:0043420,E6QYX0
GO:0004553,E6QZ16
GO:0005975,E6QZ16
GO:0030246,E6QZ16
GO:0003934,E6QZ35
GO:0035998,E6QZ35
GO:0046654,E6QZ35
GO:0046656,E6QZ35
GO:0005524,E6QZ48
GO:0005794,E6QZ48
GO:0017110,E6QZ48
GO:0016791,E6QZ85
GO:0046872,E6QZ85
GO:0004335,E6QZ95
GO:0005524,E6QZ95
GO:0005737,E6QZ95
GO:0006012,E6QZ95
GO:0003870,E6QZA2
GO:0005759,E6QZA2
GO:0006782,E6QZA2
GO:0030170,E6QZA2
GO:0016020,E6QZC9
GO:0022857,E6QZC9
GO:0005743,E6QZD8
GO:0006811,E6QZD8
GO:0008108,E6QZG1
GO:0008270,E6QZG1
GO:0033499,E6QZG1
GO:0016020,E6QZH0
GO:0016274,E6QZH3
GO:0018216,E6QZH3
GO:0005751,E6QZH5
GO:0006123,E6QZH5
GO:0046872,E6QZH5
GO:0009691,E6QZI4
GO:0016787,E6QZI4
GO:0000030,E6QZK6
GO:0006486,E6QZK6
GO:0016020,E6QZK6
GO:0005315,E6QZL3
GO:0005743,E6QZL3
GO:1990547,E6QZL3
GO:0005524,E6QZL6
GO:0016303,E6QZL6
GO:0016310,E6QZL6
GO:0048015,E6QZL6
GO:0016020,E6QZN1
GO:0016746,E6QZN1
GO:0004825,E6QZP2
GO:0005524,E6QZP2
GO:0006431,E6QZP2
GO:0004014,E6QZQ1
GO:0006597,E6QZQ1
GO:0008295,E6QZQ1
GO:0004408,E6QZQ2
GO:0005743,E6QZQ2
GO:0046872,E6QZQ2
GO:0005975,E6QZT7
GO:0042132,E6QZT7
GO:0046872,E6QZT7
GO:0005886,E6QZV6
GO:0022857,E6QZV6
GO:0008271,E6QZV9
GO:0008509,E6QZV9
GO:0016020,E6QZV9
GO:0005743,E6QZX4
GO:0006850,E6QZX4
GO:0016020,E6QZX9
GO:0022857,E6QZX9
GO:0006673,E6QZY4
GO:0016020,E6QZY4
GO:0070917,E6QZY4
GO:0008270,E6QZZ8
GO:0016616,E6QZZ8
GO:0005975,E6R003
GO:0009331,E6R003
GO:0042803,E6R003
GO:0046168,E6R003
GO:0047952,E6R003
GO:0051287,E6R003
GO:0006744,E6R016
GO:0031314,E6R016
GO:0032259,E6R016
GO:0043333,E6R016
GO:0005634,E6R043
GO:0005737,E6R043
GO:0006166,E6R043
GO:0017061,E6R043
GO:0019509,E6R043
GO:0004180,E6R053
GO:0006508,E6R053
GO:0046872,E6R053
GO:0070573,E6R053
GO:0004022,E6R075
GO:0005739,E6R075
GO:0046872,E6R075
GO:0047988,E6R075
GO:0016020,E6R092
GO:0005778,E6R0A3
GO:0016559,E6R0A3
GO:0005886,E6R0A9
GO:0008519,E6R0A9
GO:0004239,E6R0C2
GO:0005737,E6R0C2
GO:0006508,E6R0C2
GO:0036211,E6R0C2
GO:0046872,E6R0C2
GO:0070006,E6R0C2
GO:0005743,E6R0D0
GO:0006850,E6R0D0
GO:0008270,E6R0D1
GO:0016616,E6R0D1
GO:0033512,E6R0F5
GO:0047130,E6R0F5
GO:0047131,E6R0F5
GO:0000166,E6R0J0
GO:0005634,E6R0J0
GO:0005737,E6R0J0
GO:0009117,E6R0J0
GO:0009204,E6R0J0
GO:0035870,E6R0J0
GO:0036220,E6R0J0
GO:0036222,E6R0J0
GO:0046872,E6R0J0
GO:0003824,E6R0M1
GO:0016020,E6R0M7
GO:0004655,E6R0P8
GO:0006782,E6R0P8
GO:0046872,E6R0P8
GO:0004555,E6R0R4
GO:0005509,E6R0R4
GO:0005737,E6R0R4
GO:0005993,E6R0R4
