Protein_ID,log2FoldChange,padj,Gene_id,,,,,
318427,-2.50081792468631,0,gene_4952,beta-glucuronidase,Select seq ref|WP_166878372.1|,beta-glucuronidase [Salinibacterium sp. ZJ450],,
449605,-2.4709528330825,0,gene_1236,putative glycerol-3-phosphate dehydrogenase,Select seq gb|OCF38578.1|,glycerol-3-phosphate dehydrogenase [Kwoniella heveanensis CBS 569],,
90295,-2.46343815467755,2.34667210321731E-13,gene_6953,GCN5-like N-acetyltransferase,Select seq gb|ORY26968.1|,acyl-CoA N-acyltransferase [Naematelia encephala],,
505587,-2.4370404832413,1.02370805432198E-277,gene_4926,putative mitochondrial iron transporter of the mitochondrial carrier family,Select seq ref|XP_003194059.1|,"Mitochondrial iron transporter of the mitochondrial carrier family (MCF), putative; Mrs3p [Cryptococcus gattii",,
330758,-2.40653204053611,6.5986609852239E-211,gene_5217,expressed protein,,,,
482174,-2.40408167697757,2.88713623432576E-31,gene_1854,expressed protein,,,,
506682,-2.35907135133166,0,gene_7190,hypothetical protein,electron-transferring-flavoprotein dehydrogenase [Tremella mesenterica] ,,,
507690,-2.33123565379345,1.82286408050413E-63,gene_806,hypothetical protein,Select seq gb|ORY29817.1|,SUR7/PalI family-domain-containing protein [Naematelia encephala],,
73293,-2.3056182033081,0,gene_6610,putative carboxylic acid transport protein,,,,
460672,-2.28691938339292,3.10345720022337E-164,gene_1504,nonsense-mediated mRNA decay protein 3,,,,
542965,-2.26118378314528,1.26132859383182E-12,gene_7267,Major facilitator superfamily domain-containing protein,,,,
86950,-2.258378736936,4.95158648480311E-84,gene_6907,Tannase and feruloyl esterase-domain containing protein,,,,
500114,-2.25507640862174,2.77831543034442E-210,gene_7063,putative mitochondrion protein,,,,
475895,-2.23033268990118,1.16977704500076E-274,gene_22,Permease family-domain containing protein,probable Purine Transporter AzgA [Moesziomyces antarcticus] ,,,
483389,-2.22582880355491,8.4798194656444E-212,gene_2228,,Select seq gb|ORY27880.1|,major facilitator superfamily domain-containing protein [Naematelia encephala],Select seq gb|ACZ51512.1|,UM00103-like protein [Kwoniella heveanensis]
496059,-2.18261841874979,8.9677130781723E-99,gene_5864,,,,,
496861,-2.17940354340894,1.48160082932644E-203,gene_6121,,,,,
194686,-2.17549594603731,1.81260137571329E-121,gene_2411,,,,,
494927,-2.17199069000651,1.84556559751079E-135,gene_5547,,,,,
486036,-2.13919211691956,0,gene_3018,,,,,
335571,-2.10692816409136,2.60624253193165E-222,gene_5284,,,,,
312065,-2.07582154973779,1.71999772236139E-24,gene_4831,,,,,
490096,-2.06658346981428,4.49174115582053E-237,gene_4186,,,,,
442696,-2.06088015298207,1.3152146419424E-175,gene_6512,,,,,
488059,-2.05113159273641,1.45593412585829E-54,gene_3597,,,,,
501327,-2.03062569462499,1.27235733356473E-139,gene_7428,,,,,
49226,-2.02006035871222,2.09501337267024E-07,gene_1011,,,,,
459091,-2.00683636303137,1.559452374233E-28,gene_144,,,,,
479180,-1.98969590238099,7.49765334603517E-49,gene_969,,,,,
500682,-1.98948532294601,9.40283022798731E-187,gene_7242,,,,,
464948,-1.94230553782574,2.15631623264722E-146,gene_4804,,,,,
22973,-1.92087028736409,1.62051281521869E-95,gene_448,,,,,
297531,-1.91244001824459,2.03060819684219E-152,gene_4469,,,,,
102170,-1.90648699045762,1.55970797156251E-112,gene_7234,,,,,
505555,-1.89255841290699,0,gene_4883,,,,,
492553,-1.89062451732046,2.29743770769061E-69,gene_4886,,,,,
512587,-1.88429809528636,1.17978858552487E-193,gene_6259,,,,,
481632,-1.87813064874384,2.75700751884217E-150,gene_1709,,,,,
247851,-1.87721715087743,1.60285754828383E-50,gene_3499,,,,,
476944,-1.87632511976577,1.70720627259531E-06,gene_323,,,,,
489214,-1.86987675691183,3.14378292784922E-100,gene_3961,,,,,
490444,-1.86198607634335,1.25526476336688E-184,gene_4280,,,,,
436660,-1.85706262321453,1.05316025492738E-07,gene_2251,,,,,
483624,-1.84755769381949,1.04532772636848E-122,gene_2299,,,,,
481583,-1.82115544391176,2.73084324364364E-122,gene_1692,,,,,
443573,-1.81436187723751,1.48556568226244E-241,gene_6985,,,,,
478876,-1.8129084396161,1.33176640980261E-122,gene_878,,,,,
469979,-1.81225064011921,7.33115419494804E-216,gene_468,,,,,
282260,-1.81146688452133,2.52619498345499E-207,gene_4184,,,,,
511419,-1.811095507768,7.31209741819431E-65,gene_4969,,,,,
444221,-1.80846874908892,7.3435629376108E-129,gene_7448,,,,,
498292,-1.80419576885743,8.38832596372056E-35,gene_6517,,,,,
458404,-1.79969716164261,2.86524329795569E-116,gene_7467,,,,,
44320,-1.79147337786436,2.23205718734073E-143,gene_895,,,,,
162623,-1.79025491931203,2.03063709000729E-102,gene_1715,,,,,
547476,-1.78989830662667,2.24267123014672E-11,gene_5734,,,,,
509014,-1.78913374312671,1.49852913971493E-130,gene_2300,,,,,
495810,-1.78230680780416,1.39440730930138E-228,gene_5789,,,,,
497349,-1.78220801927389,5.65496281900832E-223,gene_6257,,,,,
288162,-1.77953157144844,9.51876722078326E-16,gene_4293,,,,,
455646,-1.77728057068507,1.79524122583006E-160,gene_5619,,,,,
193714,-1.7753949110505,1.24648858814663E-216,gene_2388,,,,,
440308,-1.77226649270537,4.89739149681486E-99,gene_5384,,,,,
510100,-1.76249567354776,9.15797739516136E-48,gene_3501,,,,,
363382,-1.75406837232887,7.51650638675964E-18,gene_5802,,,,,
497070,-1.73953425887966,5.84611013902878E-228,gene_6188,,,,,
487269,-1.73758343925987,5.61057810373629E-206,gene_3351,,,,,
545106,-1.73278302227586,1.87375481256459E-101,gene_2392,,,,,
476614,-1.72853154808494,2.65272161045097E-140,gene_233,,,,,
484575,-1.72576027566294,5.52789095474028E-92,gene_2608,,,,,
480832,-1.71752564988488,9.71640210116089E-107,gene_1463,,,,,
483025,-1.71303291011974,2.41756524395868E-211,gene_2131,,,,,
499271,-1.7061698832923,2.7584550654901E-201,gene_6806,,,,,
24006,-1.70339956348371,7.44708336314133E-128,gene_474,,,,,
36090,-1.68649188948214,1.29172713596864E-76,gene_714,,,,,
477679,-1.68477888503993,8.67471818538696E-162,gene_516,,,,,
495007,-1.68307423280175,2.77927965180928E-139,gene_5562,,,,,
511340,-1.67053421771716,3.30953412869514E-95,gene_4881,,,,,
535025,-1.65363596341128,4.32129500291721E-152,gene_3664,,,,,
438390,-1.65349377276866,5.74695629142865E-35,gene_4112,,,,,
481635,-1.64728944368911,3.20304191198073E-161,gene_1710,,,,,
469905,-1.64666655747993,5.43471807400516E-192,gene_366,,,,,
477710,-1.64301514465503,1.62621896512943E-65,gene_527,,,,,
540774,-1.64280865264257,1.94378965717755E-92,gene_4627,,,,,
241340,-1.6386241390373,4.77045538698142E-67,gene_3334,,,,,
437001,-1.63789743886712,3.11871263595207E-76,gene_2697,,,,,
263683,-1.63362460529095,3.7910336028394E-164,gene_3854,,,,,
485637,-1.63359741417937,2.66780982204948E-81,gene_2912,,,,,
247852,-1.63251904842836,3.64813237811018E-98,gene_3498,,,,,
198211,-1.62968843325628,4.07741717745148E-95,gene_2477,,,,,
508728,-1.62503603839257,4.54600106696666E-126,gene_1972,,,,,
488132,-1.62497683247034,4.57270097424073E-162,gene_3619,,,,,
300455,-1.62144944730156,3.24158070426995E-162,gene_4551,,,,,
487404,-1.61481498669629,3.9876474612132E-13,gene_3391,,,,,
348492,-1.61395888446201,9.54522059520033E-79,gene_5513,,,,,
498575,-1.61089714068805,3.12640507730344E-194,gene_6593,,,,,
487982,-1.60626621034815,2.76978539835316E-87,gene_3565,,,,,
485495,-1.60493508762972,4.38245817852962E-140,gene_2873,,,,,
481637,-1.59064891827433,7.99388221391549E-154,gene_1711,,,,,
539380,-1.58685800431192,1.82046641783656E-158,gene_2979,,,,,
486759,-1.57846163947077,4.4543909020028E-150,gene_3222,,,,,
493158,-1.57380416672594,2.45579236534326E-119,gene_5058,,,,,
493651,-1.5722161195399,8.44254953946178E-39,gene_5209,,,,,
505419,-1.57054275510638,2.96124082334683E-143,gene_4639,,,,,
535023,-1.57044945793911,3.75754949489767E-13,gene_3651,,,,,
488135,-1.57029381328662,1.00820263964675E-159,gene_3620,,,,,
365833,-1.5644350636174,2.06978411592272E-118,gene_5832,,,,,
486775,-1.56273698710858,8.23285869548408E-31,gene_3227,,,,,
365368,-1.55852522882633,8.16811092911441E-208,gene_5830,,,,,
491495,-1.55820499912303,5.63881104436792E-68,gene_4575,,,,,
484068,-1.55815225961355,2.66130559774924E-196,gene_2444,,,,,
479158,-1.55726431718107,1.15209118107613E-141,gene_963,,,,,
511420,-1.55653079120688,1.47463686344928E-124,gene_4970,,,,,
490609,-1.55530663446557,1.58585826454575E-07,gene_4324,,,,,
508996,-1.55154264507951,1.49363834849625E-10,gene_2279,,,,,
491011,-1.55001274388613,1.02575539276543E-96,gene_4432,,,,,
97890,-1.54956712968964,1.92562435031561E-51,gene_7154,,,,,
469842,-1.54954816487399,4.10209970262702E-09,gene_283,,,,,
511515,-1.54474569345288,1.10683158401901E-08,gene_5075,,,,,
524239,-1.54015544075264,1.29053416164461E-232,gene_2846,,,,,
227824,-1.53966541914234,3.22435923840344E-45,gene_3087,,,,,
540246,-1.5360845158104,1.00344346678531E-107,gene_3991,,,,,
494925,-1.53364069606706,3.59257325142228E-81,gene_5546,,,,,
465912,-1.53080098054936,2.14077485473729E-116,gene_5365,,,,,
265142,-1.52753437710856,7.22854152788222E-206,gene_3899,,,,,
25640,-1.52546465496545,3.07267238659264E-34,gene_517,,,,,
501223,-1.52356323243122,1.52827750207384E-129,gene_7408,,,,,
537569,-1.52241677457966,4.45147497814963E-08,gene_836,,,,,
509863,-1.5202534344286,1.0806642735471E-177,gene_3235,,,,,
540155,-1.51514748057647,1.36803502766593E-05,gene_3891,,,,,
537425,-1.51341345515604,5.77143628546582E-101,gene_658,,,,,
508291,-1.51241166724341,2.27895039547127E-189,gene_1501,,,,,
365509,-1.51200556766631,7.82093810713884E-128,gene_5829,,,,,
542736,-1.51191487657885,8.06338597513223E-10,gene_6987,,,,,
489173,-1.50666216851811,1.7124915232503E-167,gene_3944,,,,,
501450,-1.50502412202081,1.4321395805552E-61,gene_7471,,,,,
488682,-1.50228666257764,2.83903318878132E-154,gene_3787,,,,,
509624,-1.48965773476113,0.00129827714742,gene_2972,,,,,
182079,-1.48883267413744,2.58775731038855E-80,gene_2157,,,,,
481584,-1.48857483722078,6.01229476107656E-110,gene_1693,,,,,
178032,-1.48795410946701,7.23886709697578E-105,gene_2042,,,,,
492621,-1.48732516373956,7.95654658032206E-97,gene_4900,,,,,
480866,-1.48410191546787,1.14860381217364E-89,gene_1474,,,,,
483926,-1.48052316713772,7.94482498074537E-54,gene_2410,,,,,
458542,-1.48025725439745,5.59352067214473E-71,gene_7546,,,,,
456822,-1.47750518235272,8.33024803444914E-71,gene_6366,,,,,
478721,-1.47510721686522,1.55698204005029E-31,gene_826,,,,,
300368,-1.47413673897717,3.53435310485499E-49,gene_4543,,,,,
512688,-1.47222522700644,1.53432290339495E-79,gene_6369,,,,,
453174,-1.4685405834052,1.06785903695742E-28,gene_4181,,,,,
471601,-1.46217446047284,9.62852267359614E-26,gene_2531,,,,,
252234,-1.45983509505035,7.36448912467451E-165,gene_3589,,,,,
486569,-1.45815101930602,8.91542901784811E-71,gene_3170,,,,,
466553,-1.45646198283286,1.38400418683931E-68,gene_5702,,,,,
495490,-1.45616040110841,2.6583045630428E-145,gene_5690,,,,,
545780,-1.44776260856625,8.05734465988675E-23,gene_3363,,,,,
459113,-1.44617692365121,4.20106739394712E-72,gene_153,,,,,
545847,-1.4447593380193,6.79365421873681E-08,gene_3457,,,,,
512912,-1.44286701259972,7.59768196395058E-70,gene_6621,,,,,
476510,-1.43515929301492,5.99943092667751E-05,gene_205,,,,,
504338,-1.4341779678764,1.59656702044537E-113,gene_1856,,,,,
546838,-1.42912965886824,2.44874508584087E-39,gene_4848,,,,,
494568,-1.42456534859799,1.06138943941008E-68,gene_5453,,,,,
491824,-1.42126410344442,1.58611702010284E-30,gene_4671,,,,,
498304,-1.42088101309931,7.59860682343742E-155,gene_6520,,,,,
509078,-1.42014285941268,1.62447603148168E-101,gene_2376,,,,,
463717,-1.41953678603724,2.17420352959264E-91,gene_4003,,,,,
102612,-1.41795382401208,1.29915231200998E-51,gene_7249,,,,,
497928,-1.41557777896185,3.10682206029427E-20,gene_6456,,,,,
285087,-1.41133286535608,9.57835677408213E-15,gene_4226,,,,,
64904,-1.40829123598085,2.00244337420885E-17,gene_6481,,,,,
488175,-1.40634373681812,3.77616764340057E-29,gene_3639,,,,,
537608,-1.40333796367501,2.22728908378064E-39,gene_885,,,,,
482508,-1.40091486841866,5.36214798152032E-37,gene_1959,,,,,
333834,-1.40010898536872,1.41987560500266E-90,gene_5252,,,,,
486952,-1.39441185331455,5.4627032512199E-36,gene_3256,,,,,
493620,-1.3921911913035,2.9121523798975E-146,gene_5201,,,,,
443897,-1.38955813973496,9.39729650442677E-92,gene_7475,,,,,
471130,-1.38512623072009,5.29200648301394E-73,gene_1936,,,,,
493376,-1.38272661559816,5.74436790674742E-121,gene_5118,,,,,
264729,-1.37833868098591,6.42149272422155E-24,gene_3890,,,,,
470482,-1.3774927344659,2.85403732419174E-116,gene_1128,,,,,
299526,-1.37515123564749,1.20135934846397E-35,gene_4519,,,,,
239974,-1.37388985842425,3.23268936494158E-62,gene_3295,,,,,
491490,-1.37092936795193,1.63760681122847E-08,gene_4571,,,,,
314897,-1.37087811720773,3.83350892247035E-17,gene_4898,,,,,
511404,-1.36916616853396,7.02433624044406E-50,gene_4953,,,,,
158189,-1.36600706509449,3.1312840918311E-06,gene_1633,,,,,
539293,-1.36570053040617,1.44126759692664E-76,gene_2874,,,,,
49129,-1.35870093163082,5.79077836997531E-67,gene_1007,,,,,
61042,-1.35716017606791,9.11618228468178E-78,gene_1224,,,,,
248079,-1.35714724757456,2.38240031991493E-152,gene_3507,,,,,
451569,-1.35454452983798,2.69172395342898E-78,gene_2887,,,,,
327298,-1.35333330704088,8.80777862573762E-101,gene_5120,,,,,
499367,-1.35077589566627,7.38800173704108E-16,gene_6838,,,,,
537049,-1.35074784448463,4.485511629451E-12,gene_218,,,,,
489992,-1.35072457801949,2.61052430544902E-182,gene_4177,,,,,
474863,-1.34740090342119,1.31556293279231E-69,gene_6718,,,,,
496166,-1.34391976091098,8.83485075756775E-99,gene_5907,,,,,
515824,-1.34237328823971,3.31910290060371E-98,gene_789,,,,,
180336,-1.34069660868471,4.96004538719873E-22,gene_2102,,,,,
487333,-1.34062870888517,5.81819236386293E-55,gene_3368,,,,,
547068,-1.34034822023361,0.001021738002961,gene_5168,,,,,
493830,-1.33939640853702,1.36499597986544E-82,gene_5256,,,,,
486654,-1.33121212893338,1.24105839048418E-65,gene_3195,,,,,
477698,-1.32882290850699,2.31874837927358E-14,gene_520,,,,,
498880,-1.32744597174151,2.91497406037187E-112,gene_6675,,,,,
511637,-1.3271732938901,1.77705340318931E-132,gene_5214,,,,,
482021,-1.32701162434517,9.53949756209768E-55,gene_1808,,,,,
481275,-1.32149031368028,6.49455962589751E-58,gene_1587,,,,,
489484,-1.32016913740676,1.45385411297357E-86,gene_4036,,,,,
227879,-1.31876242165638,1.42185449062153E-78,gene_3088,,,,,
479028,-1.31814992675091,1.30974055198053E-78,gene_922,,,,,
478566,-1.31696186058432,4.91916648361102E-37,gene_790,,,,,
511056,-1.31539494025887,1.23159268714213E-137,gene_4558,,,,,
494904,-1.31465577858333,8.92341201610587E-99,gene_5533,,,,,
497668,-1.31178104949234,1.91992701952334E-109,gene_6358,,,,,
481930,-1.307879624962,2.88359430635808E-87,gene_1791,,,,,
505666,-1.30744513136138,5.68232490307495E-128,gene_5100,,,,,
487586,-1.30259323411195,2.91036716529167E-12,gene_3452,,,,,
513029,-1.29968520325082,3.84221527016035E-96,gene_6755,,,,,
495680,-1.29663872773587,7.23257692521117E-46,gene_5744,,,,,
479736,-1.29619085060997,1.13464329175575E-54,gene_1122,,,,,
512823,-1.29565459581904,1.4397178964068E-63,gene_6524,,,,,
441414,-1.29445911769898,2.59637526499413E-103,gene_5904,,,,,
498893,-1.29401552680378,2.85011756152834E-16,gene_6679,,,,,
90526,-1.29385284098913,4.14030005606869E-29,gene_6961,,,,,
501257,-1.29198092302171,1.52337149512639E-76,gene_7418,,,,,
537102,-1.29027188517191,5.5972483142222E-120,gene_279,,,,,
497425,-1.28583270107782,1.14053234646735E-59,gene_6277,,,,,
31194,-1.28416408130672,4.79153411207005E-15,gene_603,,,,,
533821,-1.27808620642753,1.79899009322421E-39,gene_193,,,,,
465716,-1.27583831873631,2.11550617353844E-43,gene_5261,,,,,
490975,-1.27305242029228,1.15774988589566E-12,gene_4422,,,,,
448844,-1.27264641611884,4.50541157644327E-93,gene_557,,,,,
483238,-1.27232026887067,1.33561359173923E-22,gene_2194,,,,,
300337,-1.27224101599305,2.97621133275782E-44,gene_4542,,,,,
499042,-1.27171961207419,5.39745677800093E-50,gene_6727,,,,,
482543,-1.27141204490575,2.51668716195799E-70,gene_1973,,,,,
154545,-1.27045689882575,6.5571638608224E-52,gene_1521,,,,,
493945,-1.26943270560407,1.02230978758521E-107,gene_5289,,,,,
511529,-1.26678070672753,6.53899558922646E-108,gene_5091,,,,,
478367,-1.26566343570858,5.28582667614209E-60,gene_726,,,,,
478173,-1.2632822273911,5.51649900903089E-103,gene_662,,,,,
478154,-1.2615629820157,1.33705577371319E-88,gene_652,,,,,
481347,-1.25947822552499,9.70533228189695E-86,gene_1613,,,,,
478108,-1.25916456599513,6.52946274522365E-07,gene_634,,,,,
487795,-1.25847343541355,6.42658736738482E-15,gene_3522,,,,,
518328,-1.25701874725734,7.46582822651279E-47,gene_7020,,,,,
480067,-1.25680344646528,5.63924085504018E-68,gene_1226,,,,,
485400,-1.25606588635837,1.62362971269528E-133,gene_2848,,,,,
453185,-1.25396083023654,3.47867105110691E-89,gene_4188,,,,,
172419,-1.25049363434834,2.816868684743E-63,gene_1897,,,,,
484308,-1.25021050969902,4.35318470889763E-117,gene_2529,,,,,
1991,-1.24821636504313,5.35805944497217E-05,gene_66,,,,,
463696,-1.24747666939847,5.91353662673853E-26,gene_3985,,,,,
482175,-1.24656949592207,2.0655215077071E-150,gene_1855,,,,,
473474,-1.24619863215938,1.16916513914366E-55,gene_4930,,,,,
498785,-1.24619127294609,6.98565768405311E-105,gene_6652,,,,,
438006,-1.24590264686066,1.61931917903853E-59,gene_3046,,,,,
493134,-1.24011840689157,1.3649643384912E-27,gene_5051,,,,,
504651,-1.23436489358635,3.5780992695468E-14,gene_2664,,,,,
522320,-1.23134715966121,2.42309268335544E-93,gene_2035,,,,,
477465,-1.22914902635038,7.95707507594921E-82,gene_446,,,,,
491835,-1.22801360781218,3.73199047105599E-77,gene_4674,,,,,
477448,-1.22738420869516,6.93819121690379E-20,gene_440,,,,,
484304,-1.22528016801637,7.80896675645699E-94,gene_2528,,,,,
495933,-1.22469101544427,4.43544249533576E-75,gene_5826,,,,,
488142,-1.22257096933477,1.13857109098027E-65,gene_3626,,,,,
429619,-1.22191528287373,9.75306659334973E-10,gene_2230,,,,,
198829,-1.2219104770395,5.34738856944588E-79,gene_2495,,,,,
491005,-1.22052734370081,5.18266098553111E-06,gene_4431,,,,,
442108,-1.21570550475795,5.76023513666685E-111,gene_6076,,,,,
501082,-1.21409799511558,1.01377139920136E-121,gene_7361,,,,,
539829,-1.21378662439419,4.13124933084709E-88,gene_3512,,,,,
475695,-1.21355135021721,0.00026816800382,gene_7697,,,,,
159901,-1.21234302405045,1.35840326926758E-41,gene_1666,,,,,
511658,-1.21149259927688,7.8158726337854E-43,gene_5235,,,,,
502064,-1.21087922128539,1.32212372016894E-52,gene_7633,,,,,
322384,-1.21049177561535,2.77900392443301E-64,gene_5056,,,,,
487015,-1.20817276236316,5.42550263545025E-48,gene_3275,,,,,
483482,-1.20787648867334,4.61496228534071E-21,gene_2261,,,,,
330801,-1.20779462525724,4.28961243719886E-55,gene_5216,,,,,
42033,-1.20404754450145,2.05528851366452E-47,gene_835,,,,,
18009,-1.20293938575292,3.62287774173509E-61,gene_367,,,,,
488638,-1.20169143260625,6.76162741302992E-98,gene_3778,,,,,
488640,-1.20072002914515,4.73742243529717E-114,gene_3779,,,,,
500678,-1.20009350921416,1.21242214243481E-18,gene_7241,,,,,
489238,-1.1986403226948,1.65082186833187E-33,gene_3970,,,,,
497810,-1.19816952640605,2.86405228243091E-18,gene_6414,,,,,
478814,-1.19754112352869,1.64457107654668E-86,gene_861,,,,,
473397,-1.19501692563444,0.001885233456427,gene_4832,,,,,
434973,-1.19451010404722,2.09891366550554E-97,gene_788,,,,,
86541,-1.19413527318233,7.2388846563981E-06,gene_6879,,,,,
369008,-1.19196990248187,6.73350266583658E-58,gene_5906,,,,,
484414,-1.18970636752611,6.3088733507439E-97,gene_2561,,,,,
545315,-1.18752468473445,1.70788345833962E-46,gene_2688,,,,,
436192,-1.18667354965657,1.89130326500127E-114,gene_2863,,,,,
495432,-1.18647049896349,4.47693092475423E-68,gene_5667,,,,,
501697,-1.18499458396224,3.38015524702476E-40,gene_7540,,,,,
488075,-1.18313809242359,1.41972046945894E-72,gene_3600,,,,,
495313,-1.17984351692147,1.39744708929733E-46,gene_5644,,,,,
454894,-1.1786557150534,2.27770237565476E-102,gene_5221,,,,,
454065,-1.17856222023056,1.3131332114383E-67,gene_4728,,,,,
442910,-1.1767968772896,6.51899961369897E-38,gene_6513,,,,,
522936,-1.17554966876918,2.44872731561253E-83,gene_2229,,,,,
291871,-1.17303276743529,0.000335454016354,gene_4361,,,,,
485202,-1.17055430513067,4.58637416090885E-32,gene_2802,,,,,
494941,-1.17002782309481,2.90999864882099E-48,gene_5550,,,,,
484825,-1.16769316957416,9.33615517089087E-108,gene_2681,,,,,
39399,-1.16762384933337,2.94890859106642E-46,gene_787,,,,,
538803,-1.16438366393782,3.15031563338473E-53,gene_2313,,,,,
543851,-1.1637542767651,1.88268442720005E-79,gene_633,,,,,
484476,-1.16350280108268,9.58659323644521E-52,gene_2578,,,,,
477764,-1.16029910040101,7.45346554899645E-21,gene_542,,,,,
499229,-1.16015709141377,2.29401556212285E-66,gene_6791,,,,,
477302,-1.16013395497239,1.20101748070511E-118,gene_392,,,,,
506625,-1.15913113282873,1.71730746549965E-55,gene_7079,,,,,
511068,-1.1571447760146,1.91278359987529E-30,gene_4570,,,,,
490650,-1.15432548610035,4.5497887782122E-98,gene_4330,,,,,
489053,-1.15411763246458,1.5603033246458E-79,gene_3906,,,,,
540785,-1.1521376414067,9.82975830453637E-95,gene_4640,,,,,
328374,-1.15176265017001,4.34327026438465E-58,gene_5150,,,,,
539030,-1.14991182635259,1.39562479412856E-31,gene_2573,,,,,
504607,-1.14988796707048,1.63881311463574E-14,gene_2554,,,,,
501410,-1.14496278780829,2.55923915183445E-46,gene_7461,,,,,
510212,-1.1433793634119,1.6082810981395E-72,gene_3628,,,,,
495639,-1.13928574844569,1.72042292044187E-57,gene_5733,,,,,
477360,-1.13872909255182,3.73201388831968E-89,gene_412,,,,,
492648,-1.13660607658105,1.13593133087995E-45,gene_4909,,,,,
166911,-1.13638082535681,5.26326479820924E-65,gene_1776,,,,,
465374,-1.135311155084,1.31569001871921E-28,gene_5052,,,,,
492767,-1.13376651262548,6.06073474482795E-84,gene_4945,,,,,
357137,-1.13361133277874,6.21889423430097E-45,gene_5646,,,,,
505195,-1.13350915567052,3.04697070610555E-43,gene_4166,,,,,
494373,-1.13335937349859,5.91973911510662E-95,gene_5404,,,,,
491915,-1.1329984671396,1.2231421556393E-77,gene_4694,,,,,
478320,-1.13298571518703,2.33438406549066E-62,gene_710,,,,,
513466,-1.13277584458514,1.5791443553514E-49,gene_7270,,,,,
266286,-1.13230689869538,1.3953319178269E-59,gene_3926,,,,,
499860,-1.13040214794432,1.23330270014795E-06,gene_6977,,,,,
485129,-1.12857476207219,2.07813908863732E-54,gene_2776,,,,,
499930,-1.12823576579672,3.59895415575456E-99,gene_6996,,,,,
483042,-1.12730129714668,5.23072593149081E-52,gene_2137,,,,,
492633,-1.12522337418971,4.63328391767702E-60,gene_4903,,,,,
436647,-1.12448480981971,4.87261101500288E-43,gene_2734,,,,,
479046,-1.1243040608443,1.20798401237289E-105,gene_929,,,,,
84496,-1.12370968517083,4.22933530918974E-41,gene_6832,,,,,
485890,-1.122515193298,6.44170526102374E-42,gene_2984,,,,,
56404,-1.12224962836756,2.39760311507197E-37,gene_1127,,,,,
457691,-1.11936346070094,1.45170316516337E-72,gene_7030,,,,,
471717,-1.11875456235152,4.00545187159134E-39,gene_2687,,,,,
494057,-1.11764643484611,1.73999910536564E-69,gene_5318,,,,,
433850,-1.11704742736294,1.19472331156066E-87,gene_1147,,,,,
488884,-1.11607921938783,1.48827242380581E-46,gene_3841,,,,,
486874,-1.11506084665787,2.0492854666702E-33,gene_3234,,,,,
452328,-1.11411549305846,8.98131816474063E-66,gene_3520,,,,,
65248,-1.1134582710574,1.52454039341694E-34,gene_6480,,,,,
541550,-1.11344737356161,9.9809040959914E-57,gene_5561,,,,,
501087,-1.11329760777409,2.15639641346339E-60,gene_7362,,,,,
507395,-1.1120455842435,1.03885223365951E-64,gene_466,,,,,
486663,-1.11187109770089,2.33482416845209E-36,gene_3199,,,,,
494283,-1.11179800046423,2.38075393595453E-74,gene_5369,,,,,
489899,-1.1117799630277,2.3926507169E-102,gene_4154,,,,,
495604,-1.11065755594397,1.31228510760245E-80,gene_5724,,,,,
64504,-1.109984930068,1.1577707544348E-55,gene_6468,,,,,
482727,-1.10688172650389,1.31841999192287E-50,gene_2036,,,,,
473471,-1.10545311879901,4.59624410748671E-33,gene_4927,,,,,
