LogFC_ATS_AC_wo,Reaction,NAME,EQUATION,SUBSYSTEM
2.21153247317979,r_0033,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic AMP[c] + H2O[c] => AMP[c] + H+[c]",Purine metabolism
2.21153247309775,r_0036,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic GMP[c] + H2O[c] => GMP[c] + H+[c]",Purine metabolism
2.29195857507356,r_0039,3-dehydroquinate dehydratase,3-dehydroquinate[c] => 3-dehydroshikimate[c] + H2O[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
2.29195857507356,r_0040,3-dehydroquinate synthase,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] => 3-dehydroquinate[c] + phosphate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
1.50485363077009,r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
2.43727351487948,r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p],
2.29604043741275,r_0060,3-isopropylmalate dehydratase,"(2R,3S)-3-isopropylmalate[c] <=> 2-isopropylmaleic acid[c] + H2O[c]","2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Valine, leucine and isoleucine biosynthesis"
1.74386392662594,r_0061,3-isopropylmalate dehydrogenase,"(2R,3S)-3-isopropylmalate[c] + NAD[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]","2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;C5-Branched dibasic acid metabolism;Valine, leucine and isoleucine biosynthesis"
2.15531740924487,r_0062,3-methyl-2-oxobutanoate decarboxylase,3-methyl-2-oxobutanoate[c] + H+[c] => carbon dioxide[c] + isobutyraldehyde[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycolysis
2.27994007407642,r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,"3-methyl-2-oxobutanoate[m] + 5,10-methylenetetrahydrofolate[m] + H2O[m] => 2-dehydropantoate[m] + THF[m]",Biosynthesis of secondary metabolites;Pantothenate and CoA biosynthesis
2.30974130456988,r_0064,3-methyl-2-oxopentanoate decarboxylase,(S)-3-methyl-2-oxopentanoate[c] + H+[c] => 2-methylbutanal[c] + carbon dioxide[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycolysis
2.29195857507356,r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,3-phosphoshikimic acid[c] + phosphoenolpyruvate[c] => 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] + phosphate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
2.29195857507356,r_0066,4-amino-4-deoxychorismate synthase,chorismate[c] + L-glutamine[c] => 4-amino-4-deoxychorismate[c] + L-glutamate[c],Folate biosynthesis
2.29195857507356,r_0067,4-aminobenzoate synthase,4-amino-4-deoxychorismate[c] => 4-aminobenzoate[c] + H+[c] + pyruvate[c],
2.16675026237015,r_0072,4-methyl-2-oxopentanoate decarboxylase,4-methyl-2-oxopentanoate[c] + H+[c] => 3-methylbutanal[c] + carbon dioxide[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycolysis
2.11440374178793,r_0079,5'-phosphoribosylformyl glycinamidine synthetase,5'-phosphoribosyl-N-formylglycineamide[c] + ATP[c] + H2O[c] + L-glutamine[c] => 5'-phosphoribosyl-N-formylglycineamidine[c] + ADP[c] + H+[c] + L-glutamate[c] + phosphate[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism
2.45424028633256,r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)","5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADPH[c] => 5-methyltetrahydrofolate[c] + NADP(+)[c]",Carbon metabolism;One carbon pool by folate
2.21153247308445,r_0090,6-phosphofructo-2-kinase,"ATP[c] + D-fructose 6-phosphate[c] => ADP[c] + beta-D-fructose 2,6-bisphosphate[c] + H+[c]",Fructose and mannose metabolism
2.15531740923871,r_0096,acetohydroxy acid isomeroreductase,"2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]","2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis"
2.15531740923871,r_0097,acetolactate synthase,H+[m] + 2 pyruvate[m] => 2-acetyllactic acid[m] + carbon dioxide[m],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Butanoate metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis"
2.43727351494088,r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),3-oxopalmitoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + myristoyl-CoA[p],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome;Valine, leucine and isoleucine degradation"
2.44611398316966,r_0103,acetyl-CoA C-acetyltransferase,2 acetyl-CoA[c] => acetoacetyl-CoA[c] + coenzyme A[c],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Butanoate metabolism;Carbon metabolism;Fatty acid degradation;Fatty acid metabolism;Glyoxylate and dicarboxylate metabolism;Lysine degradation;Propanoate metabolism;Pyruvate metabolism;Synthesis and degradation of ketone bodies;Terpenoid backbone biosynthesis;Tryptophan metabolism;Valine, leucine and isoleucine degradation"
2.43727351487948,r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),3-oxotetradecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + lauroyl-CoA[p],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome;Valine, leucine and isoleucine degradation"
2.39525305735071,r_0106,acetyl-CoA C-acyltransferase (octanoyl-CoA),3-oxodecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + octanoyl-CoA[p],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome;Valine, leucine and isoleucine degradation"
1.43727351491287,r_0107,acetyl-CoA C-acyltransferase (decanoyl-CoA),3-oxolauroyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + decanoyl-CoA[p],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome;Valine, leucine and isoleucine degradation"
2.43999588807019,r_0109,"acetyl-CoA carboxylase, reaction",acetyl-CoA[c] + ATP[c] + bicarbonate[c] => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c],Biosynthesis of secondary metabolites;Biotin metabolism;Fatty acid biosynthesis;Fatty acid metabolism;Propanoate metabolism;Pyruvate metabolism
1.762395978945,r_0111,acetyl-CoA hydrolase,acetyl-CoA[m] + H2O[m] => acetate[m] + coenzyme A[m] + H+[m],Pyruvate metabolism
2.21153247315365,r_0113,acetyl-CoA synthetase,acetate[m] + ATP[m] + coenzyme A[m] => acetyl-CoA[m] + AMP[m] + diphosphate[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Gluconeogenesis;Glycolysis;Propanoate metabolism;Pyruvate metabolism
1.91944115823874,r_0115,acetylglutamate kinase,ATP[m] + N-acetyl-L-glutamate[m] => ADP[m] + N-acetyl-L-gamma-glutamyl phosphate[m],2-Oxocarboxylic acid metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites
1.91944115823874,r_0118,acteylornithine transaminase,2-acetamido-5-oxopentanoate[m] + L-glutamate[m] => 2-oxoglutarate[m] + N(2)-acetyl-L-ornithine[m],2-Oxocarboxylic acid metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites
2.39525305735071,r_0120,acyl-CoA oxidase (decanoyl-CoA),decanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dec-2-enoyl-CoA[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
2.43727351487948,r_0121,acyl-CoA oxidase (dodecanoyl-CoA),lauroyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dodec-2-enoyl-CoA[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
2.43727351487948,r_0123,acyl-CoA oxidase (hexadecanoyl-CoA),oxygen[p] + palmitoyl-CoA[p] => hexadec-2-enoyl-CoA[p] + hydrogen peroxide[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
1.93439519807605,r_0124,acyl-CoA oxidase (octadecanoyl-CoA),oxygen[p] + stearoyl-CoA[p] => hydrogen peroxide[p] + trans-octadec-2-enoyl-CoA[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
2.43727351487948,r_0125,acyl-CoA oxidase (tetradecanoyl-CoA),myristoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-tetradec-2-enoyl-CoA[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
2.45958370716788,r_0131,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + episterol[erm] <=> coenzyme A[erm] + episteryl palmitoleate[erm],Steroid biosynthesis
2.45958370719224,r_0132,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + ergosterol[erm] <=> coenzyme A[erm] + ergosteryl palmitoleate[erm],Steroid biosynthesis
2.45958370716767,r_0133,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + fecosterol[erm] <=> coenzyme A[erm] + fecosteryl palmitoleate[erm],Steroid biosynthesis
2.45958370719124,r_0134,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + lanosterol[erm] <=> coenzyme A[erm] + lanosteryl palmitoleate[erm],Steroid biosynthesis
2.45958370719428,r_0135,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + zymosterol[erm] <=> coenzyme A[erm] + zymosteryl palmitoleate[erm],Steroid biosynthesis
2.66034135282418,r_0142,adenosine kinase,adenosine[c] + ATP[c] => ADP[c] + AMP[c] + H+[c],Purine metabolism
2.21153247308293,r_0143,adenosine monophosphate deaminase,AMP[c] + H+[c] + H2O[c] => ammonium[c] + IMP[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism
2.66034135282418,r_0144,adenosylhomocysteinase,H2O[c] + S-adenosyl-L-homocysteine[c] => adenosine[c] + L-homocysteine[c],Cysteine and methionine metabolism
2.21153247317979,r_0147,adenylate cyclase,"ATP[c] => 3',5'-cyclic AMP[c] + diphosphate[c]",Longevity regulating pathway - multiple species;Meiosis - yeast;Purine metabolism
1.34675803502238,r_0148,adenylate kinase,AMP[c] + ATP[c] => 2 ADP[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism;Thiamine metabolism
2.06770417740981,r_0149,adenylate kinase,AMP[m] + ATP[m] => 2 ADP[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism;Thiamine metabolism
2.21153247308756,r_0150,adenylate kinase (GTP),AMP[m] + GTP[m] <=> ADP[m] + GDP[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism;Thiamine metabolism
2.11440374178793,r_0151,adenylosuccinate lyase (AICAR),5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole[c] => AICAR[c] + fumarate[c],"Alanine, aspartate and glutamate metabolism;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism"
2.21153247307266,r_0152,adenylosuccinate lyase,adenylo-succinate[c] <=> AMP[c] + fumarate[c],"Alanine, aspartate and glutamate metabolism;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism"
2.21153247307266,r_0153,adenylosuccinate synthase,GTP[c] + IMP[c] + L-aspartate[c] => adenylo-succinate[c] + GDP[c] + 2 H+[c] + phosphate[c],"Alanine, aspartate and glutamate metabolism;Purine metabolism"
2.52206716715814,r_0154,adenylyl-sulfate kinase,5'-adenylyl sulfate[c] + ATP[c] => 3'-phospho-5'-adenylyl sulfate[c] + ADP[c] + H+[c],Purine metabolism;Sulfur metabolism
2.29606334252262,r_0166,"aldehyde dehydrogenase (2-methylbutanol, NAD)",2-methylbutanal[c] + H+[c] + NADH[c] => 2-methylbutanol[c] + NAD[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
2.29606334260314,r_0167,"aldehyde dehydrogenase (2-methylbutanol, NAD)",2-methylbutanal[m] + H+[m] + NADH[m] => 2-methylbutanol[m] + NAD[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
2.32777917332098,r_0168,"aldehyde dehydrogenase (2-methylbutanol, NADP)",2-methylbutanal[c] + H+[c] + NADPH[c] => 2-methylbutanol[c] + NADP(+)[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycerolipid metabolism;Glycolysis;Pentose and glucuronate interconversions
1.52719545342336,r_0175,"aldehyde dehydrogenase (acetylaldehyde, NADP)",acetaldehyde[m] + H2O[m] + NADP(+)[m] => acetate[m] + 2 H+[m] + NADPH[m],"Arginine and proline metabolism;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycerolipid metabolism;Glycolysis;Histidine metabolism;Lysine degradation;Pyruvate metabolism;Tryptophan metabolism;Valine, leucine and isoleucine degradation;beta-Alanine metabolism"
2.16173096552894,r_0180,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",3-methylbutanal[m] + H+[m] + NADH[m] => isoamylol[m] + NAD[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
2.19650476385359,r_0181,"aldehyde dehydrogenase (isoamyl alcohol, NADP)",3-methylbutanal[c] + H+[c] + NADPH[c] => isoamylol[c] + NADP(+)[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycerolipid metabolism;Glycolysis;Pentose and glucuronate interconversions
2.14995091280997,r_0182,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",H+[c] + isobutyraldehyde[c] + NADH[c] => isobutanol[c] + NAD[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
2.14995091285782,r_0183,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",H+[m] + isobutyraldehyde[m] + NADH[m] => isobutanol[m] + NAD[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
2.19363874697063,r_0184,"aldehyde dehydrogenase (isobutyl alcohol, NADP)",H+[c] + isobutyraldehyde[c] + NADPH[c] => isobutanol[c] + NADP(+)[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycerolipid metabolism;Glycolysis;Pentose and glucuronate interconversions
2.35346332984762,r_0186,"aldehyde dehydrogenase (tryptophol, NAD)",H+[c] + indol-3-ylacetaldehyde[c] + NADH[c] => NAD[c] + tryptophol[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
2.35346332990192,r_0187,"aldehyde dehydrogenase (tryptophol, NAD)",H+[m] + indol-3-ylacetaldehyde[m] + NADH[m] => NAD[m] + tryptophol[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
2.7016987007893,r_0191,allophanate hydrolase,3 H+[c] + H2O[c] + urea-1-carboxylic acid[c] => 2 ammonium[c] + 2 carbon dioxide[c],Arginine biosynthesis;Atrazine degradation
2.21153247311552,r_0193,"alpha,alpha-trehalase",H2O[v] + trehalose[v] => 2 D-glucose[v],Starch and sucrose metabolism
2.21153247316607,r_0194,"alpha,alpha-trehalase",H2O[c] + trehalose[c] => 2 D-glucose[c],Starch and sucrose metabolism
2.04372789130659,r_0195,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)","D-glucose 6-phosphate[c] + UDP-D-glucose[c] => alpha,alpha-trehalose 6-phosphate[c] + H+[c] + UDP[c]",Starch and sucrose metabolism
2.36438418445599,r_0202,anthranilate phosphoribosyltransferase,anthranilate[c] + PRPP[c] => diphosphate[c] + N-(5-phospho-beta-D-ribosyl)anthranilate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
2.36438418445599,r_0203,anthranilate synthase,chorismate[c] + L-glutamine[c] => anthranilate[c] + H+[c] + L-glutamate[c] + pyruvate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
2.12077764176915,r_0206,arginase,H2O[c] + L-arginine[c] => ornithine[c] + urea[c],Arginine and proline metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites
3.67958245049479,r_0207,argininosuccinate lyase,(N(omega)-L-arginino)succinic acid[c] <=> fumarate[c] + L-arginine[c],"Alanine, aspartate and glutamate metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites"
2.21153247312463,r_0211,asparagine synthase (glutamine-hydrolysing),ATP[c] + H2O[c] + L-aspartate[c] + L-glutamine[c] => AMP[c] + diphosphate[c] + H+[c] + L-asparagine[c] + L-glutamate[c],"Alanine, aspartate and glutamate metabolism;Biosynthesis of secondary metabolites"
2.32227880978967,r_0214,aspartate carbamoyltransferase,carbamoyl phosphate[c] + L-aspartate[c] => H+[c] + N-carbamoyl-L-aspartate[c] + phosphate[c],"Alanine, aspartate and glutamate metabolism;Pyrimidine metabolism"
2.27474637452909,r_0215,aspartate kinase,ATP[c] + L-aspartate[c] => 4-phospho-L-aspartate[c] + ADP[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Glycine, serine and threonine metabolism;Lysine biosynthesis;Monobactam biosynthesis"
4.20534829891498,r_0218,aspartate transaminase,2-oxoglutarate[p] + L-aspartate[p] <=> L-glutamate[p] + oxaloacetate[p],"2-Oxocarboxylic acid metabolism;Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Cysteine and methionine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Tyrosine metabolism"
2.27474637452909,r_0219,aspartate-semialdehyde dehydrogenase,4-phospho-L-aspartate[c] + H+[c] + NADPH[c] => L-aspartate 4-semialdehyde[c] + NADP(+)[c] + phosphate[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Glycine, serine and threonine metabolism;Lysine biosynthesis;Monobactam biosynthesis"
2.2303155735668,r_0225,ATP phosphoribosyltransferase,ATP[c] + PRPP[c] => 5-phosphoribosyl-ATP[c] + diphosphate[c],Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Histidine metabolism
1.89013204133457,r_0226,ATP synthase,ADP[m] + 3 H+[c] + phosphate[m] => ATP[m] + 2 H+[m] + H2O[m],Oxidative phosphorylation
2.21153247325342,r_0227,"ATPase, cytosolic",ATP[c] + H2O[c] => ADP[c] + H+[e] + phosphate[c],Oxidative phosphorylation;Purine metabolism;Pyrimidine metabolism
1.63386879303229,r_0231,C-14 sterol reductase,"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c] + H+[c] + NADPH[c] => 14-demethyllanosterol[c] + NADP(+)[c]",Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Steroid biosynthesis
1.71328175934735,r_0233,C-22 sterol desaturase (NADP),"ergosta-5,7,24(28)-trien-3beta-ol[c] + H+[c] + NADPH[c] + oxygen[c] => ergosta-5,7,22,24(28)-tetraen-3beta-ol[c] + 2 H2O[c] + NADP(+)[c]",Biosynthesis of antibiotics;Steroid biosynthesis
1.74845713605974,r_0234,C-3 sterol dehydrogenase,NADP(+)[c] + zymosterol intermediate 1c[c] => carbon dioxide[c] + H+[c] + NADPH[c] + zymosterol intermediate 2[c],Biosynthesis of antibiotics;Steroid biosynthesis
1.74845713605974,r_0235,C-3 sterol dehydrogenase (4-methylzymosterol),4beta-methylzymosterol-4alpha-carboxylic acid[c] + NAD[c] => 3-dehydro-4-methylzymosterol[c] + carbon dioxide[c] + H+[c] + NADH[c],Biosynthesis of antibiotics;Steroid biosynthesis
1.74845713605974,r_0236,C-3 sterol keto reductase (4-methylzymosterol),3-dehydro-4-methylzymosterol[c] + H+[c] + NADPH[c] => 4alpha-methylzymosterol[c] + NADP(+)[c],Biosynthesis of antibiotics;Steroid biosynthesis
1.74845713605974,r_0237,C-3 sterol keto reductase (zymosterol),H+[c] + NADPH[c] + zymosterol intermediate 2[c] => NADP(+)[c] + zymosterol[c],Biosynthesis of antibiotics;Steroid biosynthesis
1.74845713605974,r_0238,C-4 methyl sterol oxidase,4alpha-methylzymosterol[c] + H+[c] + NADPH[c] + oxygen[c] => H2O[c] + NADP(+)[c] + zymosterol intermediate 1a[c],Biosynthesis of antibiotics;Steroid biosynthesis
1.74845713605974,r_0239,C-4 methyl sterol oxidase,H+[c] + NADPH[c] + oxygen[c] + zymosterol intermediate 1a[c] => 2 H2O[c] + NADP(+)[c] + zymosterol intermediate 1b[c],Biosynthesis of antibiotics;Steroid biosynthesis
1.74845713605974,r_0240,C-4 methyl sterol oxidase,H+[c] + NADPH[c] + oxygen[c] + zymosterol intermediate 1b[c] => H2O[c] + NADP(+)[c] + zymosterol intermediate 1c[c],Biosynthesis of antibiotics;Steroid biosynthesis
