LogFC_Ac_ATS_Par,Reaction,NAME,EQUATION,SUBSYSTEM
1.75784252676614,r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)","5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADPH[c] => 5-methyltetrahydrofolate[c] + NADP(+)[c]",Carbon metabolism;One carbon pool by folate
1.37476897242696,r_0096,acetohydroxy acid isomeroreductase,"2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]","2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis"
1.37476897242696,r_0097,acetolactate synthase,H+[m] + 2 pyruvate[m] => 2-acetyllactic acid[m] + carbon dioxide[m],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Butanoate metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis"
1.47005308334286,r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),3-oxopalmitoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + myristoyl-CoA[p],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome;Valine, leucine and isoleucine degradation"
1.32767348707296,r_0103,acetyl-CoA C-acetyltransferase,2 acetyl-CoA[c] => acetoacetyl-CoA[c] + coenzyme A[c],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Butanoate metabolism;Carbon metabolism;Fatty acid degradation;Fatty acid metabolism;Glyoxylate and dicarboxylate metabolism;Lysine degradation;Propanoate metabolism;Pyruvate metabolism;Synthesis and degradation of ketone bodies;Terpenoid backbone biosynthesis;Tryptophan metabolism;Valine, leucine and isoleucine degradation"
1.42803262580157,r_0106,acetyl-CoA C-acyltransferase (octanoyl-CoA),3-oxodecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + octanoyl-CoA[p],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome;Valine, leucine and isoleucine degradation"
1.47005308333034,r_0107,acetyl-CoA C-acyltransferase (decanoyl-CoA),3-oxolauroyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + decanoyl-CoA[p],"Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome;Valine, leucine and isoleucine degradation"
1.42914983159658,r_0109,"acetyl-CoA carboxylase, reaction",acetyl-CoA[c] + ATP[c] + bicarbonate[c] => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c],Biosynthesis of secondary metabolites;Biotin metabolism;Fatty acid biosynthesis;Fatty acid metabolism;Propanoate metabolism;Pyruvate metabolism
1.43098403627558,r_0113,acetyl-CoA synthetase,acetate[m] + ATP[m] + coenzyme A[m] => acetyl-CoA[m] + AMP[m] + diphosphate[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Gluconeogenesis;Glycolysis;Propanoate metabolism;Pyruvate metabolism
1.3013659266603,r_0115,acetylglutamate kinase,ATP[m] + N-acetyl-L-glutamate[m] => ADP[m] + N-acetyl-L-gamma-glutamyl phosphate[m],2-Oxocarboxylic acid metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites
1.3013659266603,r_0118,acteylornithine transaminase,2-acetamido-5-oxopentanoate[m] + L-glutamate[m] => 2-oxoglutarate[m] + N(2)-acetyl-L-ornithine[m],2-Oxocarboxylic acid metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites
1.42803262580157,r_0120,acyl-CoA oxidase (decanoyl-CoA),decanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dec-2-enoyl-CoA[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
1.47005308333034,r_0121,acyl-CoA oxidase (dodecanoyl-CoA),lauroyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dodec-2-enoyl-CoA[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
1.47005308333034,r_0123,acyl-CoA oxidase (hexadecanoyl-CoA),oxygen[p] + palmitoyl-CoA[p] => hexadec-2-enoyl-CoA[p] + hydrogen peroxide[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
1.47005308333034,r_0125,acyl-CoA oxidase (tetradecanoyl-CoA),myristoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-tetradec-2-enoyl-CoA[p],Biosynthesis of secondary metabolites;Biosynthesis of unsaturated fatty acids;Fatty acid degradation;Fatty acid metabolism;Peroxisome
1.62721643450998,r_0131,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + episterol[erm] <=> coenzyme A[erm] + episteryl palmitoleate[erm],Steroid biosynthesis
1.62721643450801,r_0132,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + ergosterol[erm] <=> coenzyme A[erm] + ergosteryl palmitoleate[erm],Steroid biosynthesis
1.62721643450635,r_0133,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + fecosterol[erm] <=> coenzyme A[erm] + fecosteryl palmitoleate[erm],Steroid biosynthesis
1.62721643450851,r_0134,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + lanosterol[erm] <=> coenzyme A[erm] + lanosteryl palmitoleate[erm],Steroid biosynthesis
1.62721643452158,r_0135,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane",palmitoleoyl-CoA(4-)[erm] + zymosterol[erm] <=> coenzyme A[erm] + zymosteryl palmitoleate[erm],Steroid biosynthesis
1.8798474096145,r_0142,adenosine kinase,adenosine[c] + ATP[c] => ADP[c] + AMP[c] + H+[c],Purine metabolism
1.43098403627947,r_0143,adenosine monophosphate deaminase,AMP[c] + H+[c] + H2O[c] => ammonium[c] + IMP[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism
1.8798474096145,r_0144,adenosylhomocysteinase,H2O[c] + S-adenosyl-L-homocysteine[c] => adenosine[c] + L-homocysteine[c],Cysteine and methionine metabolism
1.43098403630554,r_0147,adenylate cyclase,"ATP[c] => 3',5'-cyclic AMP[c] + diphosphate[c]",Longevity regulating pathway - multiple species;Meiosis - yeast;Purine metabolism
1.28715574053637,r_0149,adenylate kinase,AMP[m] + ATP[m] => 2 ADP[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism;Thiamine metabolism
1.43098403629285,r_0150,adenylate kinase (GTP),AMP[m] + GTP[m] <=> ADP[m] + GDP[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism;Thiamine metabolism
1.37288300405914,r_0151,adenylosuccinate lyase (AICAR),5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole[c] => AICAR[c] + fumarate[c],"Alanine, aspartate and glutamate metabolism;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism"
1.43098403626744,r_0152,adenylosuccinate lyase,adenylo-succinate[c] <=> AMP[c] + fumarate[c],"Alanine, aspartate and glutamate metabolism;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism"
1.43098403626744,r_0153,adenylosuccinate synthase,GTP[c] + IMP[c] + L-aspartate[c] => adenylo-succinate[c] + GDP[c] + 2 H+[c] + phosphate[c],"Alanine, aspartate and glutamate metabolism;Purine metabolism"
1.74151873030851,r_0154,adenylyl-sulfate kinase,5'-adenylyl sulfate[c] + ATP[c] => 3'-phospho-5'-adenylyl sulfate[c] + ADP[c] + H+[c],Purine metabolism;Sulfur metabolism
2.51551490564607,r_0166,"aldehyde dehydrogenase (2-methylbutanol, NAD)",2-methylbutanal[c] + H+[c] + NADH[c] => 2-methylbutanol[c] + NAD[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
1.51551490565635,r_0167,"aldehyde dehydrogenase (2-methylbutanol, NAD)",2-methylbutanal[m] + H+[m] + NADH[m] => 2-methylbutanol[m] + NAD[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
1.54723073645281,r_0168,"aldehyde dehydrogenase (2-methylbutanol, NADP)",2-methylbutanal[c] + H+[c] + NADPH[c] => 2-methylbutanol[c] + NADP(+)[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycerolipid metabolism;Glycolysis;Pentose and glucuronate interconversions
1.36940247600097,r_0180,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",3-methylbutanal[m] + H+[m] + NADH[m] => isoamylol[m] + NAD[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
1.40445793941795,r_0181,"aldehyde dehydrogenase (isoamyl alcohol, NADP)",3-methylbutanal[c] + H+[c] + NADPH[c] => isoamylol[c] + NADP(+)[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycerolipid metabolism;Glycolysis;Pentose and glucuronate interconversions
1.3694024759886,r_0182,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",H+[c] + isobutyraldehyde[c] + NADH[c] => isobutanol[c] + NAD[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
1.36940247600956,r_0183,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",H+[m] + isobutyraldehyde[m] + NADH[m] => isobutanol[m] + NAD[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
1.41309031014395,r_0184,"aldehyde dehydrogenase (isobutyl alcohol, NADP)",H+[c] + isobutyraldehyde[c] + NADPH[c] => isobutanol[c] + NADP(+)[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycerolipid metabolism;Glycolysis;Pentose and glucuronate interconversions
1.57291489299274,r_0186,"aldehyde dehydrogenase (tryptophol, NAD)",H+[c] + indol-3-ylacetaldehyde[c] + NADH[c] => NAD[c] + tryptophol[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
1.57291489298757,r_0187,"aldehyde dehydrogenase (tryptophol, NAD)",H+[m] + indol-3-ylacetaldehyde[m] + NADH[m] => NAD[m] + tryptophol[m],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Fatty acid degradation;Gluconeogenesis;Glycolysis;Tyrosine metabolism
1.92115026394702,r_0191,allophanate hydrolase,3 H+[c] + H2O[c] + urea-1-carboxylic acid[c] => 2 ammonium[c] + 2 carbon dioxide[c],Arginine biosynthesis;Atrazine degradation
1.43098403618299,r_0193,"alpha,alpha-trehalase",H2O[v] + trehalose[v] => 2 D-glucose[v],Starch and sucrose metabolism
1.43098403627878,r_0194,"alpha,alpha-trehalase",H2O[c] + trehalose[c] => 2 D-glucose[c],Starch and sucrose metabolism
1.37643405725093,r_0195,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)","D-glucose 6-phosphate[c] + UDP-D-glucose[c] => alpha,alpha-trehalose 6-phosphate[c] + H+[c] + UDP[c]",Starch and sucrose metabolism
1.58383574763571,r_0202,anthranilate phosphoribosyltransferase,anthranilate[c] + PRPP[c] => diphosphate[c] + N-(5-phospho-beta-D-ribosyl)anthranilate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
1.58383574763571,r_0203,anthranilate synthase,chorismate[c] + L-glutamine[c] => anthranilate[c] + H+[c] + L-glutamate[c] + pyruvate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
1.34022920492979,r_0206,arginase,H2O[c] + L-arginine[c] => ornithine[c] + urea[c],Arginine and proline metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites
1.43098403626613,r_0211,asparagine synthase (glutamine-hydrolysing),ATP[c] + H2O[c] + L-aspartate[c] + L-glutamine[c] => AMP[c] + diphosphate[c] + H+[c] + L-asparagine[c] + L-glutamate[c],"Alanine, aspartate and glutamate metabolism;Biosynthesis of secondary metabolites"
1.56534551046748,r_0214,aspartate carbamoyltransferase,carbamoyl phosphate[c] + L-aspartate[c] => H+[c] + N-carbamoyl-L-aspartate[c] + phosphate[c],"Alanine, aspartate and glutamate metabolism;Pyrimidine metabolism"
1.49419793772684,r_0215,aspartate kinase,ATP[c] + L-aspartate[c] => 4-phospho-L-aspartate[c] + ADP[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Glycine, serine and threonine metabolism;Lysine biosynthesis;Monobactam biosynthesis"
1.91585939427951,r_0218,aspartate transaminase,2-oxoglutarate[p] + L-aspartate[p] <=> L-glutamate[p] + oxaloacetate[p],"2-Oxocarboxylic acid metabolism;Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Cysteine and methionine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Tyrosine metabolism"
1.49419793772684,r_0219,aspartate-semialdehyde dehydrogenase,4-phospho-L-aspartate[c] + H+[c] + NADPH[c] => L-aspartate 4-semialdehyde[c] + NADP(+)[c] + phosphate[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Glycine, serine and threonine metabolism;Lysine biosynthesis;Monobactam biosynthesis"
1.44976713683085,r_0225,ATP phosphoribosyltransferase,ATP[c] + PRPP[c] => 5-phosphoribosyl-ATP[c] + diphosphate[c],Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Histidine metabolism
1.29133804609097,r_0226,ATP synthase,ADP[m] + 3 H+[c] + phosphate[m] => ATP[m] + 2 H+[m] + H2O[m],Oxidative phosphorylation
1.43098403630047,r_0227,"ATPase, cytosolic",ATP[c] + H2O[c] => ADP[c] + H+[e] + phosphate[c],Oxidative phosphorylation;Purine metabolism;Pyrimidine metabolism
1.38989152458476,r_0250,carbamoyl-phosphate synthase (glutamine-hydrolysing),2 ATP[c] + bicarbonate[c] + H2O[c] + L-glutamine[c] => 2 ADP[c] + carbamoyl phosphate[c] + 2 H+[c] + L-glutamate[c] + phosphate[c],"Alanine, aspartate and glutamate metabolism;Pyrimidine metabolism"
1.43098403628401,r_0253,carnitine O-acetyltransferase,(R)-carnitine[p] + acetyl-CoA[p] => coenzyme A[p] + O-acetylcarnitine[p],Peroxisome
1.93565287986782,r_0255,catalase,2 hydrogen peroxide[c] => 2 H2O[c] + oxygen[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Glyoxylate and dicarboxylate metabolism;Longevity regulating pathway - multiple species;MAPK signaling pathway - yeast;Peroxisome;Tryptophan metabolism
1.42803262581568,r_0256,catalase,2 hydrogen peroxide[p] => 2 H2O[p] + oxygen[p],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Glyoxylate and dicarboxylate metabolism;Longevity regulating pathway - multiple species;MAPK signaling pathway - yeast;Peroxisome;Tryptophan metabolism
1.50167493380871,r_0278,chorismate mutase,chorismate[c] => prephenate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
1.51141013826341,r_0279,chorismate synthase,5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] => chorismate[c] + phosphate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
1.42399538249253,r_0300,citrate synthase,acetyl-CoA[m] + H2O[m] + oxaloacetate[m] => citrate[m] + coenzyme A[m] + H+[m],2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism
1.43031486983467,r_0301,"citrate synthase, peroxisomal",acetyl-CoA[p] + H2O[p] + oxaloacetate[p] => citrate[p] + coenzyme A[p] + H+[p],2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism
1.60000759471825,r_0306,CTP synthase (glutamine),ATP[c] + H2O[c] + L-glutamine[c] + UTP[c] => ADP[c] + CTP[c] + 2 H+[c] + L-glutamate[c] + phosphate[c],Pyrimidine metabolism
1.57892840401369,r_0307,CTP synthase (NH3),ammonium[c] + ATP[c] + UTP[c] => ADP[c] + CTP[c] + 2 H+[c] + phosphate[c],Pyrimidine metabolism
1.24010220757004,r_0308,cystathionine b-lyase,H2O[c] + L-cystathionine[c] => ammonium[c] + L-homocysteine[c] + pyruvate[c],Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Selenocompound metabolism
1.58292231434513,r_0312,cysteine synthase,hydrogen sulfide[c] + O-acetyl-L-serine[c] => acetate[c] + H+[c] + L-cysteine[c],Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Cysteine and methionine metabolism;Sulfur metabolism
1.5968946645949,r_0326,dCMP deaminase,dCMP[c] + H+[c] + H2O[c] <=> ammonium[c] + dUMP[c],Pyrimidine metabolism
1.43098403626659,r_0327,dCTP deaminase,dCTP[c] + H+[c] + H2O[c] => ammonium[c] + dUTP[c],Pyrimidine metabolism
1.43109366952176,r_0330,deoxyguanylate kinase (dGMP:ATP),ATP[c] + dGMP[c] <=> ADP[c] + dGDP[c],Purine metabolism
1.60128041034002,r_0344,dihydrofolate reductase,dihydrofolic acid[c] + H+[c] + NADPH[c] => NADP(+)[c] + THF[c],Folate biosynthesis;One carbon pool by folate
1.37476897242696,r_0352,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)","(R)-2,3-dihydroxy-3-methylbutanoate[m] => 3-methyl-2-oxobutanoate[m] + H2O[m]","2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis"
1.52919286774045,r_0353,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)","(2R,3R)-2,3-dihydroxy-3-methylpentanoate[m] => (S)-3-methyl-2-oxopentanoate[m] + H2O[m]","2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis"
1.43098403626238,r_0363,dTMP kinase,ATP[c] + dTMP[c] => ADP[c] + dTDP[c],Pyrimidine metabolism
1.43098403626659,r_0364,dUTP diphosphatase,dUTP[c] + H2O[c] => diphosphate[c] + dUMP[c] + H+[c],Pyrimidine metabolism
1.20343978256676,r_0438,ferrocytochrome-c:oxygen oxidoreductase,ferrocytochrome c[m] + 1.266 H+[m] + 0.25 oxygen[m] => ferricytochrome c[m] + 0.633 H+[c] + 0.5 H2O[m],Oxidative phosphorylation;Sulfur metabolism
1.20343978256676,r_0439,ubiquinol:ferricytochrome c reductase,2 ferricytochrome c[m] + 1.266 H+[m] + ubiquinol-6[m] => 2 ferrocytochrome c[m] + 2.532 H+[c] + ubiquinone-6[m],Oxidative phosphorylation;Sulfur metabolism
1.43098403628355,r_0448,"fructose-2,6-bisphosphate 2-phosphatase","beta-D-fructose 2,6-bisphosphate[c] + H2O[c] => D-fructose 6-phosphate[c] + phosphate[c]",Fructose and mannose metabolism
1.43098403628532,r_0449,fructose-bisphosphatase,"D-fructose 1,6-bisphosphate[c] + H2O[c] => D-fructose 6-phosphate[c] + phosphate[c]",Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Carbon metabolism;Fructose and mannose metabolism;Gluconeogenesis;Glycolysis;Pentose phosphate pathway
1.60128041032728,r_0453,dihydoorotic acid dehydrogenase,(S)-dihydroorotate[c] + fumarate[c] => orotate[c] + succinate[c],Pyrimidine metabolism
1.43098403627542,r_0454,fumarate reductase,FADH2[m] + fumarate[m] <=> FAD[m] + succinate[m],
