# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-O" "-M" "-T" "12" "-a" "Papla_JGI.gtf" "-o" "Counts_ATS_wo.txt" "ATS_wo_1_alg.bam" "ATS_wo_2_alg.bam" "ATS_wo_3_alg.bam" 
Geneid	Chr	Start	End	Strand	Length	ATS_wo_1_alg.bam	ATS_wo_2_alg.bam	ATS_wo_3_alg.bam
gene_56	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	133000;133256;133943;134168;134294;134477;134578;134724;134935	133204;133895;134119;134247;134431;134533;134670;134881;135069	-;-;-;-;-;-;-;-;-	1683	12	26	18
gene_58	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	137271;137829;138076;138522;140557;140802;141345;141738	137779;138028;138468;140510;140756;141295;141692;141873	+;+;+;+;+;+;+;+	4269	191	159	217
gene_59	scaffold_1;scaffold_1;scaffold_1	141738;143989;144514	143934;144383;144787	-;-;-	2866	542	668	553
gene_61	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	146041;146266;146381;146899;147034;147264;147399;147700;147855;147944;148322;148553	146217;146313;146855;146972;147205;147343;147653;147813;147899;148273;148508;149381	+;+;+;+;+;+;+;+;+;+;+;+	2786	1976	2138	2029
gene_62	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	150101;150531;150701;150800;150931;151058;151250	150372;150591;150717;150891;151000;151158;151455	-;-;-;-;-;-;-	819	8	14	10
gene_63	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	151999;152626;153407;153663;154151;154580	152556;153353;153612;154102;154533;154908	-;-;-;-;-;-	2644	824	1002	917
gene_64	scaffold_1;scaffold_1;scaffold_1;scaffold_1	156467;156650;157407;157668	156603;157338;157616;158008	+;+;+;+	1377	4396	5573	4744
gene_65	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	158389;158700;158884;159091;159500	158665;158773;159059;159457;159736	+;+;+;+;+	1131	0	3	2
gene_66	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	160900;161154;161462;162134;162197;162535	161115;161408;162086;162155;162473;163181	+;+;+;+;+;+	2042	87	87	120
gene_67	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	163673;164160;164303;164563;164922;165069;165191	164047;164220;164488;164850;165025;165143;165899	+;+;+;+;+;+;+	1798	3011	3381	3504
gene_68	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	165900;166155;167430;167991;168142;168233	166084;167368;167912;168091;168179;168456	-;-;-;-;-;-	2245	589	594	574
gene_69	scaffold_1;scaffold_1;scaffold_1;scaffold_1	168617;169240;169496;170141	169191;169418;170042;170541	-;-;-;-	1702	307	325	363
gene_70	scaffold_1;scaffold_1;scaffold_1	171000;171686;172417	171604;172326;172746	-;-;-	1576	595	736	715
gene_71	scaffold_1;scaffold_1;scaffold_1;scaffold_1	173096;173671;174033;174648	173611;173976;174594;174829	+;+;+;+	1566	496	430	496
gene_72	scaffold_1;scaffold_1;scaffold_1	176535;176780;177012	176720;176960;177358	-;-;-	714	0	0	0
gene_73	scaffold_1;scaffold_1;scaffold_1;scaffold_1	178516;178860;179094;179408	178792;179070;179219;179569	-;-;-;-	776	0	0	0
gene_74	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	180112;180733;181022;181412;181542;182075	180599;180966;181360;181484;181875;182836	+;+;+;+;+;+	2230	2797	3244	2983
gene_75	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	182820;183049;183344;183473;183729;184024;184242;184361;184496;184603;184784;185737;185895;185962;186136	183000;183293;183424;183681;183966;184195;184314;184451;184559;184739;185691;185851;185911;186070;186896	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3401	2725	3223	2857
gene_76	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	187713;187891;188030;188405;188631;188705;188826;189035	187839;187984;188342;188574;188648;188767;188979;189241	-;-;-;-;-;-;-;-	1146	403	444	436
gene_77	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	190374;191114;192124;193144;193673;193761;195901	191070;192074;193098;193628;193708;195833;196342	-;-;-;-;-;-;-	5669	4682	4046	4573
gene_78	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	197629;197845;198323;198591;198994;199199;199690;201648	197780;198278;198539;198947;199150;199619;201592;203078	-;-;-;-;-;-;-;-	5072	2556	2351	2402
gene_80	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	203699;203934;204043;204560;205227;206869	203883;204004;204514;205188;206812;206953	-;-;-;-;-;-	3028	2832	2869	3010
gene_81	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	210467;210986;211207;211368;211642;211804;211953;212224;212472;212657;213254	210943;211154;211324;211596;211753;211905;212181;212423;212553;212822;213400	-;-;-;-;-;-;-;-;-;-;-	2031	3984	4546	4457
gene_82	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	213722;214451;214785;214899;214983;215186;215327;215516;215765;215934;216129;216300;216652;216758	214403;214740;214851;214939;215142;215280;215472;215719;215890;216086;216248;216585;216721;217234	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2917	1948	2430	2224
gene_84	scaffold_1;scaffold_1;scaffold_1	219090;219535;219707	219488;219661;221508	+;+;+	2328	33167	32403	32976
gene_85	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	222526;222910;223207;223742;224446;225325;225505;225605;225953;226043;226230	222846;223140;223695;224405;225267;225462;225559;225905;225997;226177;226325	+;+;+;+;+;+;+;+;+;+;+	3297	2600	2430	2820
gene_86	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	226542;226750;226885;226996;227094;227257;227331;227385;227516;227582;227718;227960	226703;226838;226947;227015;227185;227280;227340;227453;227532;227651;227915;228387	-;-;-;-;-;-;-;-;-;-;-;-	1242	1172	1157	1143
gene_87	scaffold_1;scaffold_1;scaffold_1	229677;230004;230374	229937;230305;230690	+;+;+	880	404	485	488
gene_88	scaffold_1;scaffold_1;scaffold_1;scaffold_1	230691;231065;231955;232189	231013;231903;232118;232217	-;-;-;-	1355	2656	3019	2810
gene_89	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	232292;232350;232460;232535;232661;232825	232304;232411;232487;232575;232773;232951	+;+;+;+;+;+	384	1104	1483	1335
gene_90	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	233575;233913;234140;234440;234760;234980;235233;235366;235544	233865;234080;234375;234711;234896;235189;235325;235459;235677	-;-;-;-;-;-;-;-;-	1635	1382	1514	1515
gene_91	scaffold_1;scaffold_1	235876;236342	236285;236598	+;+	667	55	16	11
gene_93	scaffold_1;scaffold_1	237822;238314	238271;238481	-;-	618	11160	11451	11892
gene_94	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	239257;239505;239843;240790;241186;241455	239461;239799;240733;241139;241385;241619	-;-;-;-;-;-	2106	18	21	33
gene_95	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	241928;242015;242085;242230;242784;242899;243084;243263;243376;243541;243641;243743;243868;243934;244247;244511	241961;242034;242159;242739;242855;242954;243229;243334;243495;243600;243702;243815;243890;244201;244461;245152	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2448	473	547	446
gene_96	scaffold_1;scaffold_1;scaffold_1;scaffold_1	246191;247384;247789;248016	247332;247743;247967;248355	-;-;-;-	2021	41	65	54
gene_97	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	248605;249385;249479;249767;250119	249342;249438;249704;250072;250229	-;-;-;-;-	1435	15	26	24
gene_98	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	250554;250983;251361;251520;252005;252350;252789	250900;251310;251475;251952;252302;252751;253062	+;+;+;+;+;+;+	2197	46	55	43
gene_99	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	253013;253531;254838;255330;255593;255729	253485;254794;255289;255547;255694;255750	-;-;-;-;-;-	2531	2605	3188	2771
gene_100	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	255983;256224;256440;256689;256835	256106;256353;256635;256792;257245	+;+;+;+;+	965	1655	2145	1989
gene_101	scaffold_1;scaffold_1;scaffold_1;scaffold_1	257210;258122;258475;258661	258080;258427;258615;259013	+;+;+;+	1671	43	60	41
gene_102	scaffold_1;scaffold_1;scaffold_1	258405;258661;259218	258615;259177;259342	+;+;+	853	38	61	40
gene_103	scaffold_1;scaffold_1	260242;262333	262284;262368	+;+	2079	0	0	0
gene_104	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	264507;264711;264872;265081;265224;265328;265698;265889;265964;266035;266137;266273;266411;266503;266677;266907;267118	264665;264823;265036;265180;265289;265528;265783;265919;265990;266091;266228;266361;266460;266610;266844;267023;267496	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2008	2205	2664	2329
gene_105	scaffold_1;scaffold_1;scaffold_1;scaffold_1	267497;268288;268566;268755	268222;268513;268700;269135	+;+;+;+	1468	4478	5444	4951
gene_106	scaffold_1;scaffold_1;scaffold_1;scaffold_1	269136;269217;269444;269907	269164;269372;269865;270168	-;-;-;-	869	1601	2009	1705
gene_107	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	270262;270677;270874;271313;271454;272813;273066	270629;270823;271267;271407;272679;273007;273801	-;-;-;-;-;-;-	3161	9263	10405	9454
gene_108	scaffold_1;scaffold_1;scaffold_1;scaffold_1	274428;274825;275033;276552	274777;274987;276392;276703	-;-;-;-	2025	3151	3264	3082
gene_109	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	279171;279302;279674;280499;280634	279259;279626;280453;280584;281036	-;-;-;-;-	1683	2337	2718	2447
gene_110	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	285877;286242;286479;286667;286903;287070	286169;286363;286613;286849;287008;287618	+;+;+;+;+;+	1388	1715	1944	1903
gene_111	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	287666;287969;288072;288269;288458;288835;288973;289259	287916;288024;288150;288405;288752;288893;289121;289484	+;+;+;+;+;+;+;+	1252	3	2	6
gene_112	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	289721;289875;290644;291096;291260;291690;291902;292189;292511;292619;292766;293123;293306	289829;290383;291051;291218;291643;291864;292149;292455;292578;292721;293056;293270;293574	-;-;-;-;-;-;-;-;-;-;-;-;-	3102	1294	1516	1532
gene_113	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	293766;294145;294314;294590;294859	294079;294247;294505;294718;295169	+;+;+;+;+	1049	334	356	296
gene_114	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	295303;296238;296411;296520;296663	296186;296338;296464;296590;296788	-;-;-;-;-	1236	973	1172	953
gene_115	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	297255;297468;297873;297933;298158;298607;299059	297385;297832;297885;298114;298553;299004;299643	-;-;-;-;-;-;-	2070	4695	5474	5136
gene_116	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	299780;300254;300419;300614;300728;300932;301094;301492;301961;302077;302217;302814;303187;303453;303592;303742;303860;303970;304088;304291;304493	300207;300374;300568;300680;300889;301046;301446;301917;302031;302173;302770;303143;303401;303547;303704;303811;303921;304040;304149;304396;304832	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4008	4998	5254	5212
gene_117	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	305234;306187;306351;306484;306577;306684;306756;306899	306140;306301;306430;306527;306641;306708;306845;306944	-;-;-;-;-;-;-;-	1372	1563	1733	1619
gene_118	scaffold_1;scaffold_1	307351;308611	308489;308813	-;-	1342	1626	1901	1627
gene_119	scaffold_1;scaffold_1;scaffold_1	308814;309814;310061	309761;309994;310497	-;-;-	1566	1534	1852	1898
gene_120	scaffold_1;scaffold_1;scaffold_1;scaffold_1	310676;310864;311049;311228	310812;311000;311165;311829	+;+;+;+	993	844	1093	983
gene_121	scaffold_1;scaffold_1;scaffold_1	313158;313979;314551	313835;314502;315338	-;-;-	1990	5543	5626	5572
gene_122	scaffold_1	316866	317729	-	864	65	63	102
gene_123	scaffold_1;scaffold_1;scaffold_1	318876;319006;319225	318953;319137;319323	-;-;-	309	688	795	706
gene_124	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	319493;320432;320691;320850;321014;321214;321362	320373;320623;320791;320934;321103;321301;321580	-;-;-;-;-;-;-	1656	3456	3470	3503
gene_125	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	322285;322405;322943;323217;323464	322365;322896;323164;323415;323727	+;+;+;+;+	1258	20	20	23
gene_127	scaffold_1;scaffold_1;scaffold_1	325264;325812;326443	325764;326399;326614	+;+;+	1261	824	845	654
gene_128	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	326514;326629;326708;327209;327991;328154;328316;328715	326583;326665;327156;327925;328103;328241;328567;328861	-;-;-;-;-;-;-;-	1873	838	1119	1074
gene_129	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	329274;329570;330200;330471;330592	329530;330166;330423;330545;330749	+;+;+;+;+	1311	7	2	3
gene_130	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	331086;331279;331596;331891;332035;332164;332349;332469;332678;332865;333028;333242;333829;333973;334321;334401;335043;335280;335730	331241;331488;331829;331988;332127;332299;332430;332640;332821;332982;333183;333792;333923;334281;334355;335002;335233;335554;335975	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3903	54	100	43
