#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006364	rRNA processing	40	208	0.48	2.30e-06	STRG0A79TGQ.102170,STRG0A79TGQ.18009,STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.365368,STRG0A79TGQ.365509,STRG0A79TGQ.436647,STRG0A79TGQ.438006,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.456822,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.476873,STRG0A79TGQ.478108,STRG0A79TGQ.479158,STRG0A79TGQ.481584,STRG0A79TGQ.482021,STRG0A79TGQ.482543,STRG0A79TGQ.484308,STRG0A79TGQ.484476,STRG0A79TGQ.484575,STRG0A79TGQ.488075,STRG0A79TGQ.488682,STRG0A79TGQ.492164,STRG0A79TGQ.493115,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.497654,STRG0A79TGQ.501082,STRG0A79TGQ.511637,STRG0A79TGQ.512912,STRG0A79TGQ.534078,STRG0A79TGQ.537040,STRG0A79TGQ.537102,STRG0A79TGQ.539030,STRG0A79TGQ.540774,STRG0A79TGQ.547286	102170,18009,180594,300337,365368,365509,436647,438006,448844,451569,452328,456822,463696,464948,465716,476873,478108,479158,481584,482021,482543,484308,484476,484575,488075,488682,492164,493115,494568,495604,497654,501082,511637,512912,534078,537040,537102,539030,540774,547286
GO Process	GO:0016072	rRNA metabolic process	41	220	0.46	3.00e-06	STRG0A79TGQ.102170,STRG0A79TGQ.18009,STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.365368,STRG0A79TGQ.365509,STRG0A79TGQ.436647,STRG0A79TGQ.438006,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.456822,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.476873,STRG0A79TGQ.478108,STRG0A79TGQ.479158,STRG0A79TGQ.481584,STRG0A79TGQ.482021,STRG0A79TGQ.482543,STRG0A79TGQ.484308,STRG0A79TGQ.484476,STRG0A79TGQ.484575,STRG0A79TGQ.488075,STRG0A79TGQ.488682,STRG0A79TGQ.492164,STRG0A79TGQ.493115,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.497654,STRG0A79TGQ.501082,STRG0A79TGQ.511637,STRG0A79TGQ.512912,STRG0A79TGQ.534078,STRG0A79TGQ.537040,STRG0A79TGQ.537102,STRG0A79TGQ.539030,STRG0A79TGQ.540774,STRG0A79TGQ.541550,STRG0A79TGQ.547286	102170,18009,180594,300337,365368,365509,436647,438006,448844,451569,452328,456822,463696,464948,465716,476873,478108,479158,481584,482021,482543,484308,484476,484575,488075,488682,492164,493115,494568,495604,497654,501082,511637,512912,534078,537040,537102,539030,540774,541550,547286
GO Process	GO:0044271	Cellular nitrogen compound biosynthetic process	79	617	0.3	3.84e-06	STRG0A79TGQ.198829,STRG0A79TGQ.248079,STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.442696,STRG0A79TGQ.442910,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.459091,STRG0A79TGQ.465912,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477710,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.480866,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.481632,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484040,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.486449,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.491915,STRG0A79TGQ.492114,STRG0A79TGQ.492648,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493481,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.494623,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501257,STRG0A79TGQ.501327,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.539293,STRG0A79TGQ.541550,STRG0A79TGQ.541617,STRG0A79TGQ.543851,STRG0A79TGQ.56404	198829,248079,328374,436647,439100,442696,442910,454894,458404,459091,465912,466553,470482,477302,477710,479023,479028,479046,479158,480866,481347,481428,481632,482175,482614,484040,484156,484304,484308,484414,484637,484825,484989,485202,486449,487061,488132,488142,488638,488884,489899,490650,491719,491833,491915,492114,492648,493134,493141,493376,493481,493620,493731,494057,494283,494373,494623,495604,496166,496772,496831,497654,498880,499368,499930,501257,501327,501420,501697,505195,507391,512941,522936,537040,539293,541550,541617,543851,56404
GO Process	GO:1901566	Organonitrogen compound biosynthetic process	82	659	0.29	5.82e-06	STRG0A79TGQ.248079,STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.442696,STRG0A79TGQ.451721,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.459091,STRG0A79TGQ.463717,STRG0A79TGQ.465374,STRG0A79TGQ.465912,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477698,STRG0A79TGQ.477710,STRG0A79TGQ.478814,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.480866,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484040,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.485495,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.491915,STRG0A79TGQ.492114,STRG0A79TGQ.492648,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.495490,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497425,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501223,STRG0A79TGQ.501257,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.540246,STRG0A79TGQ.541617,STRG0A79TGQ.543851,STRG0A79TGQ.545033,STRG0A79TGQ.56404,STRG0A79TGQ.90526	248079,328374,436647,439100,442696,451721,454894,458404,459091,463717,465374,465912,466553,470482,477302,477698,477710,478814,479023,479028,479046,479158,480866,481347,481428,482175,482614,484040,484156,484304,484308,484414,484637,484825,484989,485202,485495,487061,488132,488142,488638,488884,489899,490650,491719,491833,491915,492114,492648,493134,493141,493376,493620,493731,494057,494283,494373,495490,495604,496166,496772,496831,497425,497654,498880,499368,499930,501223,501257,501420,501697,505195,507391,512941,522936,537040,540246,541617,543851,545033,56404,90526
GO Process	GO:0030490	Maturation of SSU-rRNA	20	62	0.7	1.11e-05	STRG0A79TGQ.102170,STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.438006,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.456822,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.478108,STRG0A79TGQ.484308,STRG0A79TGQ.484575,STRG0A79TGQ.488075,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.497654,STRG0A79TGQ.534078,STRG0A79TGQ.540774	102170,180594,300337,438006,448844,451569,452328,456822,463696,464948,465716,478108,484308,484575,488075,494568,495604,497654,534078,540774
GO Process	GO:0034470	ncRNA processing	48	304	0.39	1.28e-05	STRG0A79TGQ.102170,STRG0A79TGQ.18009,STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.365368,STRG0A79TGQ.365509,STRG0A79TGQ.436647,STRG0A79TGQ.438006,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.453174,STRG0A79TGQ.456822,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.476873,STRG0A79TGQ.478108,STRG0A79TGQ.479158,STRG0A79TGQ.480067,STRG0A79TGQ.481584,STRG0A79TGQ.482021,STRG0A79TGQ.482543,STRG0A79TGQ.483482,STRG0A79TGQ.484308,STRG0A79TGQ.484476,STRG0A79TGQ.484575,STRG0A79TGQ.485890,STRG0A79TGQ.488075,STRG0A79TGQ.488682,STRG0A79TGQ.492164,STRG0A79TGQ.493115,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.497654,STRG0A79TGQ.499042,STRG0A79TGQ.501082,STRG0A79TGQ.508996,STRG0A79TGQ.511056,STRG0A79TGQ.511637,STRG0A79TGQ.512912,STRG0A79TGQ.534078,STRG0A79TGQ.537040,STRG0A79TGQ.537102,STRG0A79TGQ.539030,STRG0A79TGQ.540774,STRG0A79TGQ.547286,STRG0A79TGQ.84496	102170,18009,180594,300337,365368,365509,436647,438006,448844,451569,452328,453174,456822,463696,464948,465716,476873,478108,479158,480067,481584,482021,482543,483482,484308,484476,484575,485890,488075,488682,492164,493115,494568,495604,497654,499042,501082,508996,511056,511637,512912,534078,537040,537102,539030,540774,547286,84496
GO Process	GO:0009059	Macromolecule biosynthetic process	70	571	0.28	9.58e-05	STRG0A79TGQ.198829,STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.442910,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477698,STRG0A79TGQ.477710,STRG0A79TGQ.479023,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.481347,STRG0A79TGQ.481632,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.486449,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.492114,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493481,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501257,STRG0A79TGQ.501327,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.513466,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.539293,STRG0A79TGQ.541550,STRG0A79TGQ.543851,STRG0A79TGQ.56404,STRG0A79TGQ.90526	198829,328374,436647,439100,442910,454894,458404,466553,470482,477302,477698,477710,479023,479046,479158,481347,481632,482175,482614,484156,484304,484308,484414,484637,484825,484989,485202,486449,487061,488132,488142,488638,488884,489899,490650,491719,491833,492114,493134,493141,493376,493481,493620,493731,494057,494283,494373,495604,496166,496772,496831,497654,498880,499368,499930,501257,501327,501420,501697,505195,507391,512941,513466,522936,537040,539293,541550,543851,56404,90526
GO Process	GO:0034660	ncRNA metabolic process	51	360	0.34	9.58e-05	STRG0A79TGQ.102170,STRG0A79TGQ.18009,STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.365368,STRG0A79TGQ.365509,STRG0A79TGQ.436647,STRG0A79TGQ.438006,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.453174,STRG0A79TGQ.456822,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.476873,STRG0A79TGQ.478108,STRG0A79TGQ.479158,STRG0A79TGQ.480067,STRG0A79TGQ.481584,STRG0A79TGQ.482021,STRG0A79TGQ.482543,STRG0A79TGQ.483482,STRG0A79TGQ.484308,STRG0A79TGQ.484476,STRG0A79TGQ.484575,STRG0A79TGQ.485890,STRG0A79TGQ.486449,STRG0A79TGQ.488075,STRG0A79TGQ.488132,STRG0A79TGQ.488682,STRG0A79TGQ.492164,STRG0A79TGQ.493115,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.497654,STRG0A79TGQ.499042,STRG0A79TGQ.501082,STRG0A79TGQ.508996,STRG0A79TGQ.511056,STRG0A79TGQ.511637,STRG0A79TGQ.512912,STRG0A79TGQ.534078,STRG0A79TGQ.537040,STRG0A79TGQ.537102,STRG0A79TGQ.539030,STRG0A79TGQ.540774,STRG0A79TGQ.541550,STRG0A79TGQ.547286,STRG0A79TGQ.84496	102170,18009,180594,300337,365368,365509,436647,438006,448844,451569,452328,453174,456822,463696,464948,465716,476873,478108,479158,480067,481584,482021,482543,483482,484308,484476,484575,485890,486449,488075,488132,488682,492164,493115,494568,495604,497654,499042,501082,508996,511056,511637,512912,534078,537040,537102,539030,540774,541550,547286,84496
GO Process	GO:1901576	Organic substance biosynthetic process	105	1026	0.2	0.00034	STRG0A79TGQ.198829,STRG0A79TGQ.248079,STRG0A79TGQ.300368,STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.441150,STRG0A79TGQ.442696,STRG0A79TGQ.442910,STRG0A79TGQ.451721,STRG0A79TGQ.453185,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.459091,STRG0A79TGQ.463717,STRG0A79TGQ.465374,STRG0A79TGQ.465912,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477698,STRG0A79TGQ.477710,STRG0A79TGQ.478173,STRG0A79TGQ.478367,STRG0A79TGQ.478814,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.479981,STRG0A79TGQ.480866,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.481632,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.483025,STRG0A79TGQ.484040,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.485495,STRG0A79TGQ.486449,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489173,STRG0A79TGQ.489240,STRG0A79TGQ.489899,STRG0A79TGQ.490096,STRG0A79TGQ.490444,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.491915,STRG0A79TGQ.492114,STRG0A79TGQ.492648,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493481,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.494623,STRG0A79TGQ.495490,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497425,STRG0A79TGQ.497654,STRG0A79TGQ.498575,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501087,STRG0A79TGQ.501223,STRG0A79TGQ.501257,STRG0A79TGQ.501327,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.513466,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.539293,STRG0A79TGQ.540246,STRG0A79TGQ.541550,STRG0A79TGQ.541617,STRG0A79TGQ.543851,STRG0A79TGQ.545033,STRG0A79TGQ.56404,STRG0A79TGQ.90526	198829,248079,300368,328374,436647,439100,441150,442696,442910,451721,453185,454894,458404,459091,463717,465374,465912,466553,470482,477302,477698,477710,478173,478367,478814,479023,479028,479046,479158,479981,480866,481347,481428,481632,482175,482614,483025,484040,484156,484304,484308,484414,484637,484825,484989,485202,485495,486449,487061,488132,488142,488638,488884,489173,489240,489899,490096,490444,490650,491719,491833,491915,492114,492648,493134,493141,493376,493481,493620,493731,494057,494283,494373,494623,495490,495604,496166,496772,496831,497425,497654,498575,498880,499368,499930,501087,501223,501257,501327,501420,501697,505195,507391,512941,513466,522936,537040,539293,540246,541550,541617,543851,545033,56404,90526
GO Process	GO:0009058	Biosynthetic process	108	1068	0.2	0.00038	STRG0A79TGQ.198829,STRG0A79TGQ.248079,STRG0A79TGQ.300368,STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.441150,STRG0A79TGQ.442696,STRG0A79TGQ.442910,STRG0A79TGQ.451721,STRG0A79TGQ.453174,STRG0A79TGQ.453185,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.459091,STRG0A79TGQ.463717,STRG0A79TGQ.465374,STRG0A79TGQ.465912,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477698,STRG0A79TGQ.477710,STRG0A79TGQ.478173,STRG0A79TGQ.478367,STRG0A79TGQ.478814,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.479981,STRG0A79TGQ.480866,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.481632,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.483025,STRG0A79TGQ.483926,STRG0A79TGQ.484040,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.485495,STRG0A79TGQ.486449,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489173,STRG0A79TGQ.489240,STRG0A79TGQ.489899,STRG0A79TGQ.490096,STRG0A79TGQ.490444,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.491915,STRG0A79TGQ.492114,STRG0A79TGQ.492648,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493481,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.494623,STRG0A79TGQ.495490,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497425,STRG0A79TGQ.497654,STRG0A79TGQ.498575,STRG0A79TGQ.498880,STRG0A79TGQ.499271,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501087,STRG0A79TGQ.501223,STRG0A79TGQ.501257,STRG0A79TGQ.501327,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.513466,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.539293,STRG0A79TGQ.540246,STRG0A79TGQ.541550,STRG0A79TGQ.541617,STRG0A79TGQ.543851,STRG0A79TGQ.545033,STRG0A79TGQ.56404,STRG0A79TGQ.90526	198829,248079,300368,328374,436647,439100,441150,442696,442910,451721,453174,453185,454894,458404,459091,463717,465374,465912,466553,470482,477302,477698,477710,478173,478367,478814,479023,479028,479046,479158,479981,480866,481347,481428,481632,482175,482614,483025,483926,484040,484156,484304,484308,484414,484637,484825,484989,485202,485495,486449,487061,488132,488142,488638,488884,489173,489240,489899,490096,490444,490650,491719,491833,491915,492114,492648,493134,493141,493376,493481,493620,493731,494057,494283,494373,494623,495490,495604,496166,496772,496831,497425,497654,498575,498880,499271,499368,499930,501087,501223,501257,501327,501420,501697,505195,507391,512941,513466,522936,537040,539293,540246,541550,541617,543851,545033,56404,90526
GO Process	GO:0044249	Cellular biosynthetic process	100	994	0.19	0.0012	STRG0A79TGQ.198829,STRG0A79TGQ.248079,STRG0A79TGQ.300368,STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.441150,STRG0A79TGQ.442696,STRG0A79TGQ.442910,STRG0A79TGQ.451721,STRG0A79TGQ.453174,STRG0A79TGQ.453185,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.459091,STRG0A79TGQ.463717,STRG0A79TGQ.465374,STRG0A79TGQ.465912,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477698,STRG0A79TGQ.477710,STRG0A79TGQ.478173,STRG0A79TGQ.478814,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.480866,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.481632,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.483025,STRG0A79TGQ.484040,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.485495,STRG0A79TGQ.486449,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490096,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.491915,STRG0A79TGQ.492114,STRG0A79TGQ.492648,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493481,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.494623,STRG0A79TGQ.495490,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497425,STRG0A79TGQ.497654,STRG0A79TGQ.498575,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501223,STRG0A79TGQ.501257,STRG0A79TGQ.501327,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.513466,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.539293,STRG0A79TGQ.540246,STRG0A79TGQ.541550,STRG0A79TGQ.541617,STRG0A79TGQ.543851,STRG0A79TGQ.545033,STRG0A79TGQ.56404,STRG0A79TGQ.90526	198829,248079,300368,328374,436647,439100,441150,442696,442910,451721,453174,453185,454894,458404,459091,463717,465374,465912,466553,470482,477302,477698,477710,478173,478814,479023,479028,479046,479158,480866,481347,481428,481632,482175,482614,483025,484040,484156,484304,484308,484414,484637,484825,484989,485202,485495,486449,487061,488132,488142,488638,488884,489899,490096,490650,491719,491833,491915,492114,492648,493134,493141,493376,493481,493620,493731,494057,494283,494373,494623,495490,495604,496166,496772,496831,497425,497654,498575,498880,499368,499930,501223,501257,501327,501420,501697,505195,507391,512941,513466,522936,537040,539293,540246,541550,541617,543851,545033,56404,90526
GO Process	GO:0000462	Maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	14	46	0.67	0.0013	STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.438006,STRG0A79TGQ.456822,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.484308,STRG0A79TGQ.488075,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.497654,STRG0A79TGQ.534078,STRG0A79TGQ.540774	180594,300337,438006,456822,463696,464948,465716,484308,488075,494568,495604,497654,534078,540774
