Protein_ID,log2FoldChange,padj,Gene_id,,,
507068,1.06214216273458,5.53388143019487E-17,gene_114,,,
41864,1.05963672699232,6.62358133454408E-69,gene_824,,,
51991,1.05836454904146,0.003559726623995,gene_1054,,,
474448,1.05822831947728,2.37935693131546E-54,gene_6193,,,
266437,1.0557528589356,3.1296779701254E-50,gene_3930,,,
200008,1.05346608882204,1.1020199409291E-38,gene_2519,,,
508023,1.05314148779247,2.38876726671482E-20,gene_1182,,,
548201,1.04935700479102,4.01240257005088E-104,gene_6781,,,
512731,1.04926470788462,2.43122125084262E-21,gene_6419,,,
477602,1.04801454768442,1.06768257567369E-12,gene_484,,,
488948,1.04786399204777,2.36693430090793E-53,gene_3864,,,
498817,1.04714081265767,5.75160781830764E-44,gene_6662,,,
72730,1.04416086315874,7.49637242800049E-50,gene_6599,,,
7183,1.04228294266629,1.89038723204817E-50,gene_172,,,
481568,1.04099998073753,8.96512219606849E-23,gene_1689,,,
499433,1.04073235476797,2.16587458315019E-21,gene_6861,,,
347270,1.0394775429478,7.43790564167894E-103,gene_5489,,,
433947,1.03888641050356,6.18163207403315E-25,gene_1053,,,
511452,1.03546439092024,2.41986101642386E-15,gene_5007,,,
542047,1.03268671499045,5.66976941773519E-30,gene_6136,,,
538315,1.0310479676323,2.26090077643955E-31,gene_1743,,,
496972,1.02975726945978,7.58044432224959E-24,gene_6157,,,
491325,1.02811979352014,1.74519396382274E-21,gene_4513,,,
155751,1.02651127471162,1.54366066434425E-28,gene_1561,,,
513754,1.02551343750019,1.86350599795279E-36,gene_7598,,,
537757,1.02544605994378,2.75222373923345E-05,gene_1057,,,
495912,1.02422585053915,1.01932231495688E-20,gene_5818,,,
489644,1.02272936034878,7.52147475613835E-46,gene_4094,,,
352310,1.02190230427609,9.25000854363658E-08,gene_5572,,,
496051,1.02167197281977,7.58753861658794E-66,gene_5861,,,
509669,1.02125890391569,9.65203740992952E-30,gene_3022,,,
488371,1.02089005190332,1.82438767151655E-11,gene_3691,,,
497631,1.02071530040589,1.27887515872669E-27,gene_6343,,,
513559,1.02043019083179,2.61858691509089E-30,gene_7380,,,
488514,1.01996731612816,2.35551956635518E-35,gene_3748,,,
477622,1.01969940919099,3.48295702741638E-18,gene_497,,,
497505,1.01750200468589,1.97048757757654E-30,gene_6300,,,
499571,1.01725945993299,3.31755414864698E-06,gene_6897,,,
486614,1.01699823759973,1.05714596812207E-28,gene_3183,,,
537282,1.01526928859487,2.42721437689635E-41,gene_488,,,
509835,1.01402716020223,7.62463959178553E-16,gene_3207,,,
491604,1.01355161780959,1.26197557011142E-38,gene_4609,,,
476820,1.01121701685489,6.41342304966398E-13,gene_274,,,
455754,1.00990899468939,1.9562352232709E-20,gene_5674,,,
499185,1.0092777964386,3.43962697925462E-49,gene_6776,,,
547494,1.00280770741924,2.10667170948345E-35,gene_5763,,,
