Reaction,Subsystem
r_1065,Biosynthesis of secondary metabolites
r_1065,Carbon metabolism
r_1065,Cysteine and methionine metabolism
r_1065,Phenylalanine metabolism
r_1065,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_1065,Tyrosine metabolism
r_0674,2-Oxocarboxylic acid metabolism
r_0674,"Alanine, aspartate and glutamate metabolism"
r_0674,Arginine biosynthesis
r_0674,Biosynthesis of amino acids
r_0674,Carbon metabolism
r_0115,2-Oxocarboxylic acid metabolism
r_0115,Arginine biosynthesis
r_0115,Biosynthesis of amino acids
r_0115,Biosynthesis of antibiotics
r_0115,Biosynthesis of secondary metabolites
r_0118,2-Oxocarboxylic acid metabolism
r_0118,Arginine biosynthesis
r_0118,Biosynthesis of amino acids
r_0118,Biosynthesis of antibiotics
r_0118,Biosynthesis of secondary metabolites
r_0759,2-Oxocarboxylic acid metabolism
r_0759,Arginine biosynthesis
r_0759,Biosynthesis of amino acids
r_0759,Biosynthesis of antibiotics
r_0759,Biosynthesis of secondary metabolites
r_0761,2-Oxocarboxylic acid metabolism
r_0761,Arginine biosynthesis
r_0761,Biosynthesis of amino acids
r_0761,Biosynthesis of antibiotics
r_0761,Biosynthesis of secondary metabolites
r_0818,2-Oxocarboxylic acid metabolism
r_0818,Arginine biosynthesis
r_0818,Biosynthesis of amino acids
r_0818,Biosynthesis of antibiotics
r_0818,Biosynthesis of secondary metabolites
r_0016,2-Oxocarboxylic acid metabolism
r_0016,Biosynthesis of amino acids
r_0016,Biosynthesis of antibiotics
r_0016,Biosynthesis of secondary metabolites
r_0016,Butanoate metabolism
r_0016,C5-Branched dibasic acid metabolism
r_0016,Pantothenate and CoA biosynthesis
r_0016,"Valine, leucine and isoleucine biosynthesis"
r_0097,2-Oxocarboxylic acid metabolism
r_0097,Biosynthesis of amino acids
r_0097,Biosynthesis of antibiotics
r_0097,Biosynthesis of secondary metabolites
r_0097,Butanoate metabolism
r_0097,C5-Branched dibasic acid metabolism
r_0097,Pantothenate and CoA biosynthesis
r_0097,"Valine, leucine and isoleucine biosynthesis"
r_0658,2-Oxocarboxylic acid metabolism
r_0658,Biosynthesis of amino acids
r_0658,Biosynthesis of antibiotics
r_0658,Biosynthesis of secondary metabolites
r_0658,Carbon metabolism
r_0658,Citrate cycle (TCA cycle)
r_0659,2-Oxocarboxylic acid metabolism
r_0659,Biosynthesis of amino acids
r_0659,Biosynthesis of antibiotics
r_0659,Biosynthesis of secondary metabolites
r_0659,Carbon metabolism
r_0659,Citrate cycle (TCA cycle)
r_0659,Glutathione metabolism
r_0659,Peroxisome
r_0661,2-Oxocarboxylic acid metabolism
r_0661,Biosynthesis of amino acids
r_0661,Biosynthesis of antibiotics
r_0661,Biosynthesis of secondary metabolites
r_0661,Carbon metabolism
r_0661,Citrate cycle (TCA cycle)
r_0661,Glutathione metabolism
r_0661,Peroxisome
r_2131,2-Oxocarboxylic acid metabolism
r_2131,Biosynthesis of amino acids
r_2131,Biosynthesis of antibiotics
r_2131,Biosynthesis of secondary metabolites
r_2131,Carbon metabolism
r_2131,Citrate cycle (TCA cycle)
r_2131,Glutathione metabolism
r_2131,Peroxisome
r_0028,2-Oxocarboxylic acid metabolism
r_0028,Biosynthesis of amino acids
r_0028,Biosynthesis of antibiotics
r_0028,Biosynthesis of secondary metabolites
r_0028,Carbon metabolism
r_0028,Citrate cycle (TCA cycle)
r_0028,Glyoxylate and dicarboxylate metabolism
r_0280,2-Oxocarboxylic acid metabolism
r_0280,Biosynthesis of amino acids
r_0280,Biosynthesis of antibiotics
r_0280,Biosynthesis of secondary metabolites
r_0280,Carbon metabolism
r_0280,Citrate cycle (TCA cycle)
r_0280,Glyoxylate and dicarboxylate metabolism
r_0300,2-Oxocarboxylic acid metabolism
r_0300,Biosynthesis of amino acids
r_0300,Biosynthesis of antibiotics
r_0300,Biosynthesis of secondary metabolites
r_0300,Carbon metabolism
r_0300,Citrate cycle (TCA cycle)
r_0300,Glyoxylate and dicarboxylate metabolism
r_0301,2-Oxocarboxylic acid metabolism
r_0301,Biosynthesis of amino acids
r_0301,Biosynthesis of antibiotics
r_0301,Biosynthesis of secondary metabolites
r_0301,Carbon metabolism
r_0301,Citrate cycle (TCA cycle)
r_0301,Glyoxylate and dicarboxylate metabolism
r_0302,2-Oxocarboxylic acid metabolism
r_0302,Biosynthesis of amino acids
r_0302,Biosynthesis of antibiotics
r_0302,Biosynthesis of secondary metabolites
r_0302,Carbon metabolism
r_0302,Citrate cycle (TCA cycle)
r_0302,Glyoxylate and dicarboxylate metabolism
r_0303,2-Oxocarboxylic acid metabolism
r_0303,Biosynthesis of amino acids
r_0303,Biosynthesis of antibiotics
r_0303,Biosynthesis of secondary metabolites
r_0303,Carbon metabolism
r_0303,Citrate cycle (TCA cycle)
r_0303,Glyoxylate and dicarboxylate metabolism
r_2305,2-Oxocarboxylic acid metabolism
r_2305,Biosynthesis of amino acids
r_2305,Biosynthesis of antibiotics
r_2305,Biosynthesis of secondary metabolites
r_2305,Carbon metabolism
r_2305,Citrate cycle (TCA cycle)
r_2305,Glyoxylate and dicarboxylate metabolism
r_0215,2-Oxocarboxylic acid metabolism
r_0215,Biosynthesis of amino acids
r_0215,Biosynthesis of antibiotics
r_0215,Biosynthesis of secondary metabolites
r_0215,Cysteine and methionine metabolism
r_0215,"Glycine, serine and threonine metabolism"
r_0215,Lysine biosynthesis
r_0215,Monobactam biosynthesis
r_0219,2-Oxocarboxylic acid metabolism
r_0219,Biosynthesis of amino acids
r_0219,Biosynthesis of antibiotics
r_0219,Biosynthesis of secondary metabolites
r_0219,Cysteine and methionine metabolism
r_0219,"Glycine, serine and threonine metabolism"
r_0219,Lysine biosynthesis
r_0219,Monobactam biosynthesis
r_0018,2-Oxocarboxylic acid metabolism
r_0018,Biosynthesis of amino acids
r_0018,Biosynthesis of antibiotics
r_0018,Biosynthesis of secondary metabolites
r_0018,Cysteine and methionine metabolism
r_0018,Lysine biosynthesis
r_0018,Phenylalanine metabolism
r_0018,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0018,Tryptophan metabolism
r_0018,Tyrosine metabolism
r_0018,Ubiquinone and other terpenoid-quinone biosynthesis
r_0851,2-Oxocarboxylic acid metabolism
r_0851,Biosynthesis of amino acids
r_0851,Biosynthesis of antibiotics
r_0851,Biosynthesis of secondary metabolites
r_0851,Cysteine and methionine metabolism
r_0851,Lysine biosynthesis
r_0851,Phenylalanine metabolism
r_0851,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0851,Tryptophan metabolism
r_0851,Tyrosine metabolism
r_0851,Ubiquinone and other terpenoid-quinone biosynthesis
r_1056,2-Oxocarboxylic acid metabolism
r_1056,Biosynthesis of amino acids
r_1056,Biosynthesis of antibiotics
r_1056,Biosynthesis of secondary metabolites
r_1056,Cysteine and methionine metabolism
r_1056,Lysine biosynthesis
r_1056,Phenylalanine metabolism
r_1056,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_1056,Tryptophan metabolism
r_1056,Tyrosine metabolism
r_1056,Ubiquinone and other terpenoid-quinone biosynthesis
r_1063,2-Oxocarboxylic acid metabolism
r_1063,Biosynthesis of amino acids
r_1063,Biosynthesis of antibiotics
r_1063,Biosynthesis of secondary metabolites
r_1063,Cysteine and methionine metabolism
r_1063,Lysine biosynthesis
r_1063,Phenylalanine metabolism
r_1063,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_1063,Tryptophan metabolism
r_1063,Tyrosine metabolism
r_1063,Ubiquinone and other terpenoid-quinone biosynthesis
r_0029,2-Oxocarboxylic acid metabolism
r_0029,Biosynthesis of amino acids
r_0029,Biosynthesis of antibiotics
r_0029,Biosynthesis of secondary metabolites
r_0029,Cysteine and methionine metabolism
r_0029,Pantothenate and CoA biosynthesis
r_0029,"Valine, leucine and isoleucine biosynthesis"
r_0029,"Valine, leucine and isoleucine degradation"
r_0030,2-Oxocarboxylic acid metabolism
r_0030,Biosynthesis of amino acids
r_0030,Biosynthesis of antibiotics
r_0030,Biosynthesis of secondary metabolites
r_0030,Cysteine and methionine metabolism
r_0030,Pantothenate and CoA biosynthesis
r_0030,"Valine, leucine and isoleucine biosynthesis"
r_0030,"Valine, leucine and isoleucine degradation"
r_0663,2-Oxocarboxylic acid metabolism
r_0663,Biosynthesis of amino acids
r_0663,Biosynthesis of antibiotics
r_0663,Biosynthesis of secondary metabolites
r_0663,Cysteine and methionine metabolism
r_0663,Pantothenate and CoA biosynthesis
r_0663,"Valine, leucine and isoleucine biosynthesis"
r_0663,"Valine, leucine and isoleucine degradation"
r_0664,2-Oxocarboxylic acid metabolism
r_0664,Biosynthesis of amino acids
r_0664,Biosynthesis of antibiotics
r_0664,Biosynthesis of secondary metabolites
r_0664,Cysteine and methionine metabolism
r_0664,Pantothenate and CoA biosynthesis
r_0664,"Valine, leucine and isoleucine biosynthesis"
r_0664,"Valine, leucine and isoleucine degradation"
r_0699,2-Oxocarboxylic acid metabolism
r_0699,Biosynthesis of amino acids
r_0699,Biosynthesis of antibiotics
r_0699,Biosynthesis of secondary metabolites
r_0699,Cysteine and methionine metabolism
r_0699,Pantothenate and CoA biosynthesis
r_0699,"Valine, leucine and isoleucine biosynthesis"
r_0699,"Valine, leucine and isoleucine degradation"
r_0700,2-Oxocarboxylic acid metabolism
r_0700,Biosynthesis of amino acids
r_0700,Biosynthesis of antibiotics
r_0700,Biosynthesis of secondary metabolites
r_0700,Cysteine and methionine metabolism
r_0700,Pantothenate and CoA biosynthesis
r_0700,"Valine, leucine and isoleucine biosynthesis"
r_0700,"Valine, leucine and isoleucine degradation"
r_1087,2-Oxocarboxylic acid metabolism
r_1087,Biosynthesis of amino acids
r_1087,Biosynthesis of antibiotics
r_1087,Biosynthesis of secondary metabolites
r_1087,Cysteine and methionine metabolism
r_1087,Pantothenate and CoA biosynthesis
r_1087,"Valine, leucine and isoleucine biosynthesis"
r_1087,"Valine, leucine and isoleucine degradation"
r_1088,2-Oxocarboxylic acid metabolism
r_1088,Biosynthesis of amino acids
r_1088,Biosynthesis of antibiotics
r_1088,Biosynthesis of secondary metabolites
r_1088,Cysteine and methionine metabolism
r_1088,Pantothenate and CoA biosynthesis
r_1088,"Valine, leucine and isoleucine biosynthesis"
r_1088,"Valine, leucine and isoleucine degradation"
r_0096,2-Oxocarboxylic acid metabolism
r_0096,Biosynthesis of amino acids
r_0096,Biosynthesis of antibiotics
r_0096,Biosynthesis of secondary metabolites
r_0096,Pantothenate and CoA biosynthesis
r_0096,"Valine, leucine and isoleucine biosynthesis"
r_0352,2-Oxocarboxylic acid metabolism
r_0352,Biosynthesis of amino acids
r_0352,Biosynthesis of antibiotics
r_0352,Biosynthesis of secondary metabolites
r_0352,Pantothenate and CoA biosynthesis
r_0352,"Valine, leucine and isoleucine biosynthesis"
r_0353,2-Oxocarboxylic acid metabolism
r_0353,Biosynthesis of amino acids
r_0353,Biosynthesis of antibiotics
r_0353,Biosynthesis of secondary metabolites
r_0353,Pantothenate and CoA biosynthesis
r_0353,"Valine, leucine and isoleucine biosynthesis"
r_0669,2-Oxocarboxylic acid metabolism
r_0669,Biosynthesis of amino acids
r_0669,Biosynthesis of antibiotics
r_0669,Biosynthesis of secondary metabolites
r_0669,Pantothenate and CoA biosynthesis
r_0669,"Valine, leucine and isoleucine biosynthesis"
r_0027,2-Oxocarboxylic acid metabolism
r_0027,Biosynthesis of amino acids
r_0027,Biosynthesis of antibiotics
r_0027,Lysine biosynthesis
r_0542,2-Oxocarboxylic acid metabolism
r_0542,Biosynthesis of amino acids
r_0542,Biosynthesis of antibiotics
r_0542,Lysine biosynthesis
r_0545,2-Oxocarboxylic acid metabolism
r_0545,Biosynthesis of amino acids
r_0545,Biosynthesis of antibiotics
r_0545,Lysine biosynthesis
r_0543,2-Oxocarboxylic acid metabolism
r_0543,Biosynthesis of amino acids
r_0543,Biosynthesis of antibiotics
r_0543,Lysine biosynthesis
r_0543,Pyruvate metabolism
r_1838,2-Oxocarboxylic acid metabolism
r_1838,Biosynthesis of amino acids
r_1838,Biosynthesis of antibiotics
r_1838,Lysine biosynthesis
r_1838,Pyruvate metabolism
r_0061,2-Oxocarboxylic acid metabolism
r_0061,Biosynthesis of amino acids
r_0061,Biosynthesis of secondary metabolites
r_0061,C5-Branched dibasic acid metabolism
r_0061,"Valine, leucine and isoleucine biosynthesis"
r_0024,2-Oxocarboxylic acid metabolism
r_0024,Biosynthesis of amino acids
r_0024,Biosynthesis of secondary metabolites
r_0024,Pyruvate metabolism
r_0024,"Valine, leucine and isoleucine biosynthesis"
r_0025,2-Oxocarboxylic acid metabolism
r_0025,Biosynthesis of amino acids
r_0025,Biosynthesis of secondary metabolites
r_0025,Pyruvate metabolism
r_0025,"Valine, leucine and isoleucine biosynthesis"
r_0023,2-Oxocarboxylic acid metabolism
r_0023,Biosynthesis of amino acids
r_0023,Biosynthesis of secondary metabolites
r_0023,"Valine, leucine and isoleucine biosynthesis"
r_0060,2-Oxocarboxylic acid metabolism
r_0060,Biosynthesis of amino acids
r_0060,Biosynthesis of secondary metabolites
r_0060,"Valine, leucine and isoleucine biosynthesis"
r_2219,ABC transporters
r_2219,Peroxisome
r_2220,ABC transporters
r_2220,Peroxisome
r_2221,ABC transporters
r_2221,Peroxisome
r_2222,ABC transporters
r_2222,Peroxisome
r_2223,ABC transporters
r_2223,Peroxisome
r_2224,ABC transporters
r_2224,Peroxisome
r_2225,ABC transporters
r_2225,Peroxisome
r_2226,ABC transporters
r_2226,Peroxisome
r_2227,ABC transporters
r_2227,Peroxisome
r_2228,ABC transporters
r_2228,Peroxisome
r_0477,"Alanine, aspartate and glutamate metabolism"
r_0477,Amino sugar and nucleotide sugar metabolism
r_0477,Biosynthesis of antibiotics
r_0207,"Alanine, aspartate and glutamate metabolism"
r_0207,Arginine biosynthesis
r_0207,Biosynthesis of amino acids
r_0207,Biosynthesis of antibiotics
r_0207,Biosynthesis of secondary metabolites
r_0208,"Alanine, aspartate and glutamate metabolism"
r_0208,Arginine biosynthesis
r_0208,Biosynthesis of amino acids
r_0208,Biosynthesis of antibiotics
r_0208,Biosynthesis of secondary metabolites
r_0476,"Alanine, aspartate and glutamate metabolism"
r_0476,Arginine biosynthesis
r_0476,Biosynthesis of amino acids
r_0476,Glyoxylate and dicarboxylate metabolism
r_0476,Nitrogen metabolism
r_0471,"Alanine, aspartate and glutamate metabolism"
r_0471,Arginine biosynthesis
r_0471,Nitrogen metabolism
r_0470,"Alanine, aspartate and glutamate metabolism"
r_0470,Arginine biosynthesis
r_0470,Nitrogen metabolism
r_0470,Taurine and hypotaurine metabolism
r_0472,"Alanine, aspartate and glutamate metabolism"
r_0472,Biosynthesis of amino acids
r_0472,Biosynthesis of antibiotics
r_0472,Biosynthesis of secondary metabolites
r_0472,Nitrogen metabolism
r_0156,"Alanine, aspartate and glutamate metabolism"
r_0156,Biosynthesis of antibiotics
r_0156,Biosynthesis of secondary metabolites
r_0156,Carbon metabolism
r_0156,"Glycine, serine and threonine metabolism"
r_0156,Glyoxylate and dicarboxylate metabolism
r_0156,Peroxisome
r_0151,"Alanine, aspartate and glutamate metabolism"
r_0151,Biosynthesis of antibiotics
r_0151,Biosynthesis of secondary metabolites
r_0151,Purine metabolism
r_0152,"Alanine, aspartate and glutamate metabolism"
r_0152,Biosynthesis of antibiotics
r_0152,Biosynthesis of secondary metabolites
r_0152,Purine metabolism
r_0915,"Alanine, aspartate and glutamate metabolism"
r_0915,Biosynthesis of antibiotics
r_0915,Biosynthesis of secondary metabolites
r_0915,Purine metabolism
r_0211,"Alanine, aspartate and glutamate metabolism"
r_0211,Biosynthesis of secondary metabolites
r_0679,"Alanine, aspartate and glutamate metabolism"
r_0679,Biosynthesis of secondary metabolites
r_1023,"Alanine, aspartate and glutamate metabolism"
r_1023,Butanoate metabolism
r_1023,Lysine degradation
r_1023,Nicotinate and nicotinamide metabolism
r_1023,Tyrosine metabolism
r_0068,"Alanine, aspartate and glutamate metabolism"
r_0068,Butanoate metabolism
r_0068,Propanoate metabolism
r_0068,"Valine, leucine and isoleucine degradation"
r_0068,beta-Alanine metabolism
r_0153,"Alanine, aspartate and glutamate metabolism"
r_0153,Purine metabolism
r_0214,"Alanine, aspartate and glutamate metabolism"
r_0214,Pyrimidine metabolism
r_0250,"Alanine, aspartate and glutamate metabolism"
r_0250,Pyrimidine metabolism
y300004,Alkane metabolism
y300006,Alkane metabolism
y300008,Alkane metabolism
y300025,Alkane metabolism
y300026,Alkane metabolism
r_0271,Amino sugar and nucleotide sugar metabolism
r_0272,Amino sugar and nucleotide sugar metabolism
r_0760,Amino sugar and nucleotide sugar metabolism
y300072,Amino sugar and nucleotide sugar metabolism
y300073,Amino sugar and nucleotide sugar metabolism
r_0882,Amino sugar and nucleotide sugar metabolism
r_0882,Biosynthesis of antibiotics
r_0890,Amino sugar and nucleotide sugar metabolism
r_0890,Biosynthesis of antibiotics
r_1069,Amino sugar and nucleotide sugar metabolism
r_1069,Biosynthesis of antibiotics
r_0533,Amino sugar and nucleotide sugar metabolism
r_0533,Biosynthesis of antibiotics
r_0533,Biosynthesis of secondary metabolites
r_0533,Carbon metabolism
r_0533,Fructose and mannose metabolism
r_0533,Galactose metabolism
r_0533,Gluconeogenesis
r_0533,Glycolysis
r_0533,Starch and sucrose metabolism
r_0534,Amino sugar and nucleotide sugar metabolism
r_0534,Biosynthesis of antibiotics
r_0534,Biosynthesis of secondary metabolites
r_0534,Carbon metabolism
r_0534,Fructose and mannose metabolism
r_0534,Galactose metabolism
r_0534,Gluconeogenesis
r_0534,Glycolysis
r_0534,Starch and sucrose metabolism
r_0535,Amino sugar and nucleotide sugar metabolism
r_0535,Biosynthesis of antibiotics
r_0535,Biosynthesis of secondary metabolites
r_0535,Carbon metabolism
r_0535,Fructose and mannose metabolism
r_0535,Galactose metabolism
r_0535,Gluconeogenesis
r_0535,Glycolysis
r_0535,Starch and sucrose metabolism
r_0467,Amino sugar and nucleotide sugar metabolism
r_0467,Biosynthesis of antibiotics
r_0467,Biosynthesis of secondary metabolites
r_0467,Carbon metabolism
r_0467,Gluconeogenesis
r_0467,Glycolysis
r_0467,Pentose phosphate pathway
r_0467,Starch and sucrose metabolism
r_0723,Amino sugar and nucleotide sugar metabolism
r_0723,Biosynthesis of antibiotics
r_0723,Biosynthesis of secondary metabolites
r_0723,Fructose and mannose metabolism
r_0902,Amino sugar and nucleotide sugar metabolism
r_0902,Biosynthesis of antibiotics
r_0902,Biosynthesis of secondary metabolites
r_0902,Fructose and mannose metabolism
r_1070,Amino sugar and nucleotide sugar metabolism
r_1070,Biosynthesis of antibiotics
r_1070,Biosynthesis of secondary metabolites
r_1070,Galactose metabolism
r_1070,Gluconeogenesis
r_1070,Glycolysis
r_0888,Amino sugar and nucleotide sugar metabolism
r_0888,Biosynthesis of antibiotics
r_0888,Biosynthesis of secondary metabolites
r_0888,Galactose metabolism
r_0888,Gluconeogenesis
r_0888,Glycolysis
r_0888,Pentose phosphate pathway
r_0888,Purine metabolism
r_0888,Starch and sucrose metabolism
r_0907,Amino sugar and nucleotide sugar metabolism
r_0907,Biosynthesis of antibiotics
r_0907,Biosynthesis of secondary metabolites
r_0907,Galactose metabolism
r_0907,Gluconeogenesis
r_0907,Glycolysis
r_0907,Pentose phosphate pathway
r_0907,Purine metabolism
r_0907,Starch and sucrose metabolism
r_1084,Amino sugar and nucleotide sugar metabolism
r_1084,Biosynthesis of antibiotics
r_1084,Galactose metabolism
r_1084,Pentose and glucuronate interconversions
r_1084,Starch and sucrose metabolism
r_0722,Amino sugar and nucleotide sugar metabolism
r_0722,Biosynthesis of secondary metabolites
r_0722,Fructose and mannose metabolism
r_0458,Amino sugar and nucleotide sugar metabolism
r_0458,Galactose metabolism
r_0459,Amino sugar and nucleotide sugar metabolism
r_0459,Galactose metabolism
r_1071,Amino sugar and nucleotide sugar metabolism
r_1071,Galactose metabolism
r_0157,Aminoacyl-tRNA biosynthesis
r_0209,Aminoacyl-tRNA biosynthesis
r_0210,Aminoacyl-tRNA biosynthesis
r_0212,Aminoacyl-tRNA biosynthesis
r_0213,Aminoacyl-tRNA biosynthesis
r_0220,Aminoacyl-tRNA biosynthesis
r_0313,Aminoacyl-tRNA biosynthesis
r_0478,Aminoacyl-tRNA biosynthesis
r_0512,Aminoacyl-tRNA biosynthesis
r_0539,Aminoacyl-tRNA biosynthesis
r_0540,Aminoacyl-tRNA biosynthesis
r_0665,Aminoacyl-tRNA biosynthesis
r_0666,Aminoacyl-tRNA biosynthesis
r_0701,Aminoacyl-tRNA biosynthesis
r_0711,Aminoacyl-tRNA biosynthesis
r_0712,Aminoacyl-tRNA biosynthesis
r_0852,Aminoacyl-tRNA biosynthesis
r_0853,Aminoacyl-tRNA biosynthesis
r_0941,Aminoacyl-tRNA biosynthesis
r_0995,Aminoacyl-tRNA biosynthesis
r_1042,Aminoacyl-tRNA biosynthesis
r_1043,Aminoacyl-tRNA biosynthesis
r_1057,Aminoacyl-tRNA biosynthesis
r_1066,Aminoacyl-tRNA biosynthesis
r_1067,Aminoacyl-tRNA biosynthesis
r_1089,Aminoacyl-tRNA biosynthesis
r_1090,Aminoacyl-tRNA biosynthesis
r_0479,Aminoacyl-tRNA biosynthesis
r_0479,Biosynthesis of secondary metabolites
r_0479,Porphyrin and chlorophyll metabolism
r_0480,Aminoacyl-tRNA biosynthesis
r_0480,Biosynthesis of secondary metabolites
r_0480,Porphyrin and chlorophyll metabolism
r_0729,Aminoacyl-tRNA biosynthesis
r_0729,Selenocompound metabolism
r_0730,Aminoacyl-tRNA biosynthesis
r_0730,Selenocompound metabolism
r_0206,Arginine and proline metabolism
r_0206,Arginine biosynthesis
r_0206,Biosynthesis of amino acids
r_0206,Biosynthesis of antibiotics
r_0206,Biosynthesis of secondary metabolites
r_0937,Arginine and proline metabolism
r_0937,beta-Alanine metabolism
r_0687,Arginine and proline metabolism
r_0687,Biosynthesis of amino acids
r_0687,Biosynthesis of antibiotics
r_0687,Biosynthesis of secondary metabolites
r_0957,Arginine and proline metabolism
r_0957,Biosynthesis of amino acids
r_0957,Biosynthesis of antibiotics
r_0957,Biosynthesis of secondary metabolites
r_0473,Arginine and proline metabolism
r_0473,Biosynthesis of amino acids
r_0473,Biosynthesis of antibiotics
r_0473,Biosynthesis of secondary metabolites
r_0473,Carbapenem biosynthesis
r_0468,Arginine and proline metabolism
r_0468,Biosynthesis of amino acids
r_0468,Biosynthesis of antibiotics
r_0468,Carbapenem biosynthesis
r_0819,Arginine and proline metabolism
r_0819,Biosynthesis of antibiotics
r_0819,Biosynthesis of secondary metabolites
r_0173,Arginine and proline metabolism
r_0173,Biosynthesis of antibiotics
r_0173,Biosynthesis of secondary metabolites
r_0173,Fatty acid degradation
r_0173,Gluconeogenesis
r_0173,Glycerolipid metabolism
r_0173,Glycolysis
r_0173,Histidine metabolism
r_0173,Lysine degradation
r_0173,Pyruvate metabolism
r_0173,Tryptophan metabolism
r_0173,"Valine, leucine and isoleucine degradation"
r_0173,beta-Alanine metabolism
r_0174,Arginine and proline metabolism
r_0174,Biosynthesis of antibiotics
r_0174,Biosynthesis of secondary metabolites
r_0174,Fatty acid degradation
r_0174,Gluconeogenesis
r_0174,Glycerolipid metabolism
r_0174,Glycolysis
r_0174,Histidine metabolism
r_0174,Lysine degradation
r_0174,Pyruvate metabolism
r_0174,Tryptophan metabolism
r_0174,"Valine, leucine and isoleucine degradation"
r_0174,beta-Alanine metabolism
r_0175,Arginine and proline metabolism
r_0175,Biosynthesis of antibiotics
r_0175,Biosynthesis of secondary metabolites
r_0175,Fatty acid degradation
r_0175,Gluconeogenesis
r_0175,Glycerolipid metabolism
r_0175,Glycolysis
r_0175,Histidine metabolism
r_0175,Lysine degradation
r_0175,Pyruvate metabolism
r_0175,Tryptophan metabolism
r_0175,"Valine, leucine and isoleucine degradation"
r_0175,beta-Alanine metabolism
r_0176,Arginine and proline metabolism
r_0176,Biosynthesis of antibiotics
r_0176,Biosynthesis of secondary metabolites
r_0176,Fatty acid degradation
r_0176,Gluconeogenesis
r_0176,Glycerolipid metabolism
r_0176,Glycolysis
r_0176,Histidine metabolism
r_0176,Lysine degradation
r_0176,Pyruvate metabolism
r_0176,Tryptophan metabolism
r_0176,"Valine, leucine and isoleucine degradation"
r_0176,beta-Alanine metabolism
r_0177,Arginine and proline metabolism
r_0177,Biosynthesis of antibiotics
r_0177,Biosynthesis of secondary metabolites
r_0177,Fatty acid degradation
r_0177,Gluconeogenesis
r_0177,Glycerolipid metabolism
r_0177,Glycolysis
r_0177,Histidine metabolism
r_0177,Lysine degradation
r_0177,Pyruvate metabolism
