#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Component	GO:0000228	Nuclear chromosome	14	101	0.56	0.0113	STRG0A79TGQ.360080,STRG0A79TGQ.43768,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.495701,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.527142,STRG0A79TGQ.72730	360080,43768,455308,477622,480514,482329,482731,488079,489615,495701,498687,498865,527142,72730
GO Component	GO:0032993	protein-DNA complex	10	52	0.7	0.0113	STRG0A79TGQ.323714,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.527142	323714,455308,477622,480514,482731,488079,489615,498687,498865,527142
GO Component	GO:0005869	Dynactin complex	4	5	1.32	0.0211	STRG0A79TGQ.478781,STRG0A79TGQ.489760,STRG0A79TGQ.492265,STRG0A79TGQ.501747	478781,489760,492265,501747
GO Component	GO:0005656	Nuclear pre-replicative complex	5	12	1.04	0.0264	STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.527142	455308,480514,488079,489615,527142
STRING clusters	CL:2592	DNA Replication, and Replication fork protection	21	58	0.98	5.10e-10	STRG0A79TGQ.266437,STRG0A79TGQ.323714,STRG0A79TGQ.433947,STRG0A79TGQ.43768,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.507372,STRG0A79TGQ.524057,STRG0A79TGQ.539094,STRG0A79TGQ.72730	266437,323714,433947,43768,444598,455308,477622,480514,482329,482731,488079,489615,493564,495701,498200,498687,498865,507372,524057,539094,72730
STRING clusters	CL:2468	DNA replication, and DNA repair complex	25	120	0.74	4.58e-08	STRG0A79TGQ.266437,STRG0A79TGQ.323714,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.441099,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.476410,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.499748,STRG0A79TGQ.507372,STRG0A79TGQ.524057,STRG0A79TGQ.539094,STRG0A79TGQ.72730	266437,323714,433947,434549,43768,441099,444598,455308,476410,477622,480514,482329,482731,488079,489615,493564,495701,498200,498687,498865,499748,507372,524057,539094,72730
STRING clusters	CL:2465	DNA metabolic process	28	169	0.64	2.31e-07	STRG0A79TGQ.266437,STRG0A79TGQ.323714,STRG0A79TGQ.378139,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.441099,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.465353,STRG0A79TGQ.476410,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.486653,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.499748,STRG0A79TGQ.507372,STRG0A79TGQ.524057,STRG0A79TGQ.539094,STRG0A79TGQ.72730	266437,323714,378139,433947,434549,43768,441099,444598,455308,465353,476410,477622,480514,482329,482731,486653,488079,489615,493564,495701,498200,498687,498865,499748,507372,524057,539094,72730
STRING clusters	CL:2467	DNA metabolic process	26	151	0.66	3.61e-07	STRG0A79TGQ.266437,STRG0A79TGQ.323714,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.441099,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.465353,STRG0A79TGQ.476410,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.499748,STRG0A79TGQ.507372,STRG0A79TGQ.524057,STRG0A79TGQ.539094,STRG0A79TGQ.72730	266437,323714,433947,434549,43768,441099,444598,455308,465353,476410,477622,480514,482329,482731,488079,489615,493564,495701,498200,498687,498865,499748,507372,524057,539094,72730
STRING clusters	CL:2594	DNA replication preinitiation complex, and DNA replication checkpoint signaling	13	28	1.09	3.61e-07	STRG0A79TGQ.323714,STRG0A79TGQ.43768,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.72730	323714,43768,455308,477622,480514,482329,488079,489615,493564,495701,498200,498687,72730
STRING clusters	CL:2596	DNA replication preinitiation complex, and CDC6 association with the ORC:origin complex	9	20	1.07	8.35e-05	STRG0A79TGQ.323714,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.498687	323714,455308,477622,480514,482329,488079,489615,493564,498687
STRING clusters	CL:5431	Peroxisome, and Ion homeostasis	9	44	0.73	0.0153	STRG0A79TGQ.472974,STRG0A79TGQ.484221,STRG0A79TGQ.491112,STRG0A79TGQ.492391,STRG0A79TGQ.496711,STRG0A79TGQ.496925,STRG0A79TGQ.497718,STRG0A79TGQ.498817,STRG0A79TGQ.546284	472974,484221,491112,492391,496711,496925,497718,498817,546284
STRING clusters	CL:2598	Pre-replicative complex, and Positive regulation of DNA replication	5	11	1.08	0.0234	STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.488079,STRG0A79TGQ.489615	455308,480514,482329,488079,489615
STRING clusters	CL:2639	Replication fork protection, and SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	4	5	1.32	0.0234	STRG0A79TGQ.43768,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.72730	43768,495701,498200,72730
STRING clusters	CL:2651	Lagging Strand Synthesis, and Epsilon DNA polymerase complex	7	27	0.83	0.0234	STRG0A79TGQ.266437,STRG0A79TGQ.433947,STRG0A79TGQ.482731,STRG0A79TGQ.498865,STRG0A79TGQ.507372,STRG0A79TGQ.524057,STRG0A79TGQ.539094	266437,433947,482731,498865,507372,524057,539094
STRING clusters	CL:3904	Dynactin complex	4	6	1.24	0.0301	STRG0A79TGQ.478781,STRG0A79TGQ.489760,STRG0A79TGQ.492265,STRG0A79TGQ.501747	478781,489760,492265,501747
KEGG	map04111	Cell cycle - yeast	17	119	0.57	0.0013	STRG0A79TGQ.43768,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.465353,STRG0A79TGQ.478761,STRG0A79TGQ.480053,STRG0A79TGQ.480514,STRG0A79TGQ.483662,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.499029,STRG0A79TGQ.506158,STRG0A79TGQ.506965,STRG0A79TGQ.512731,STRG0A79TGQ.513454,STRG0A79TGQ.539094	43768,444598,455308,465353,478761,480053,480514,483662,488079,489615,493564,499029,506158,506965,512731,513454,539094
KEGG	map04113	Meiosis - yeast	18	186	0.41	0.0353	STRG0A79TGQ.220860,STRG0A79TGQ.434085,STRG0A79TGQ.444598,STRG0A79TGQ.449198,STRG0A79TGQ.455308,STRG0A79TGQ.465353,STRG0A79TGQ.480514,STRG0A79TGQ.483662,STRG0A79TGQ.488079,STRG0A79TGQ.488377,STRG0A79TGQ.489615,STRG0A79TGQ.490577,STRG0A79TGQ.493564,STRG0A79TGQ.497892,STRG0A79TGQ.506180,STRG0A79TGQ.506193,STRG0A79TGQ.506965,STRG0A79TGQ.539094	220860,434085,444598,449198,455308,465353,480514,483662,488079,488377,489615,490577,493564,497892,506180,506193,506965,539094
Reactome	MAP-69306	DNA Replication	14	71	0.71	0.0019	STRG0A79TGQ.266437,STRG0A79TGQ.434549,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.527142	266437,434549,444598,455308,477622,480514,482329,482731,488079,489615,493564,498687,498865,527142
Reactome	MAP-68962	Activation of the pre-replicative complex	10	36	0.86	0.0022	STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.498865,STRG0A79TGQ.527142	444598,455308,480514,482329,482731,488079,489615,493564,498865,527142
Reactome	MAP-69002	DNA Replication Pre-Initiation	10	43	0.79	0.0055	STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.498865,STRG0A79TGQ.527142	444598,455308,480514,482329,482731,488079,489615,493564,498865,527142
Reactome	MAP-1640170	Cell Cycle	24	255	0.39	0.0127	STRG0A79TGQ.266437,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.440016,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.465353,STRG0A79TGQ.477622,STRG0A79TGQ.478781,STRG0A79TGQ.480514,STRG0A79TGQ.482078,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.499748,STRG0A79TGQ.507372,STRG0A79TGQ.512731,STRG0A79TGQ.524057,STRG0A79TGQ.527142	266437,433947,434549,43768,440016,444598,455308,465353,477622,478781,480514,482078,482329,482731,488079,489615,493564,498687,498865,499748,507372,512731,524057,527142
Reactome	MAP-453279	Mitotic G1 phase and G1/S transition	10	50	0.72	0.0127	STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.498865,STRG0A79TGQ.527142	444598,455308,480514,482329,482731,488079,489615,493564,498865,527142
Reactome	MAP-69206	G1/S Transition	10	50	0.72	0.0127	STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.498865,STRG0A79TGQ.527142	444598,455308,480514,482329,482731,488079,489615,493564,498865,527142
Reactome	MAP-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	8	36	0.77	0.0216	STRG0A79TGQ.122830,STRG0A79TGQ.122831,STRG0A79TGQ.178136,STRG0A79TGQ.471319,STRG0A79TGQ.478781,STRG0A79TGQ.489760,STRG0A79TGQ.501747,STRG0A79TGQ.507068	122830,122831,178136,471319,478781,489760,501747,507068
Reactome	MAP-176187	Activation of ATR in response to replication stress	8	38	0.74	0.0261	STRG0A79TGQ.43768,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564	43768,444598,455308,480514,482329,488079,489615,493564
Reactome	MAP-6811436	COPI-independent Golgi-to-ER retrograde traffic	5	12	1.04	0.0278	STRG0A79TGQ.122830,STRG0A79TGQ.122831,STRG0A79TGQ.478781,STRG0A79TGQ.489760,STRG0A79TGQ.501747	122830,122831,478781,489760,501747
Reactome	MAP-69481	G2/M Checkpoints	9	54	0.64	0.0399	STRG0A79TGQ.43768,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.527142	43768,444598,455308,480514,482329,488079,489615,493564,527142
COMPARTMENTS	GOCC:0043596	Nuclear replication fork	8	22	0.98	0.0080	STRG0A79TGQ.433947,STRG0A79TGQ.43768,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498865,STRG0A79TGQ.72730	433947,43768,482329,482731,495701,498200,498865,72730
COMPARTMENTS	GOCC:0015629	Actin cytoskeleton	10	47	0.75	0.0163	STRG0A79TGQ.122830,STRG0A79TGQ.122831,STRG0A79TGQ.438812,STRG0A79TGQ.477442,STRG0A79TGQ.478781,STRG0A79TGQ.489760,STRG0A79TGQ.492265,STRG0A79TGQ.500310,STRG0A79TGQ.501747,STRG0A79TGQ.507224	122830,122831,438812,477442,478781,489760,492265,500310,501747,507224
COMPARTMENTS	GOCC:0005694	Chromosome	29	335	0.36	0.0191	STRG0A79TGQ.266437,STRG0A79TGQ.360080,STRG0A79TGQ.361796,STRG0A79TGQ.367265,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.455308,STRG0A79TGQ.465353,STRG0A79TGQ.471319,STRG0A79TGQ.474347,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.489615,STRG0A79TGQ.490577,STRG0A79TGQ.490704,STRG0A79TGQ.491604,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.507372,STRG0A79TGQ.508744,STRG0A79TGQ.512731,STRG0A79TGQ.524057,STRG0A79TGQ.527142,STRG0A79TGQ.72730	266437,360080,361796,367265,433947,434549,43768,455308,465353,471319,474347,477622,480514,482329,482731,489615,490577,490704,491604,495701,498200,498687,498865,507372,508744,512731,524057,527142,72730
COMPARTMENTS	GOCC:0031298	Replication fork protection complex	4	4	1.42	0.0204	STRG0A79TGQ.43768,STRG0A79TGQ.482329,STRG0A79TGQ.495701,STRG0A79TGQ.498200	43768,482329,495701,498200
COMPARTMENTS	GOCC:0005869	Dynactin complex	4	5	1.32	0.0297	STRG0A79TGQ.478781,STRG0A79TGQ.489760,STRG0A79TGQ.492265,STRG0A79TGQ.501747	478781,489760,492265,501747
